name	location	median_u	median_i	num_u	num_i	all_u	all_i
c61wt.bc0G1.H	b9A2	0.0290395787517	2.78177187799	3	3	[0.0781067811981, 0.0290395787517, 0.0224265689832]	[3.80823126203, 2.67662054825, 2.78177187799]
wt.c60r18.10L15	b4C8	0.00664932179775	0.0246812734034	3	3	[0.00664932179775, 0.0071538189646, 0.00184011389368]	[0.0246812734034, 0.00520949744492, 0.0603029625912]
c72.10L19	b14C8	0.103247761874	5.34485754367	3	3	[0.0995770358445, 0.103247761874, 0.111898918767]	[4.94687557574, 5.34485754367, 5.75674195502]
61c-r18.35L11	b1F4	0.0062560912192	0.020536315747	3	3	[0.0062560912192, 0.00592285115169, 0.00904561787456]	[0.020536315747, 0.00951429894306, 0.0441924358335]
c61wt.bc0G2.A	b9A6	0.0114922126914	0.105554315888	6	6	[0.0178333649468, 0.0123688192396, 0.0106156061433, 0.0141374044779, 0.00651870568919, 0.00703490059431]	[0.21106086852, 0.0989875141162, 0.106001805254, 0.192178140451, 0.105106826522, 0.0690148353063]
c61wt.bc0G2.B	b9A7	0.0149816946546	0.688017285686	6	6	[0.0180066781208, 0.0216100205832, 0.0208092297343, 0.0119567111883, 0.0101712020441, 0.0107213366779]	[0.785707798605, 0.631807660522, 0.785786355887, 0.601374579849, 0.663799662298, 0.712234909073]
wt.c60r18.10L10	b4C3	0.000792244415634	0.0270600627417	3	3	[0.000811840722771, 0.000345896280295, 0.000792244415634]	[0.0139086257514, 0.0552634936979, 0.0270600627417]
wt.c60r18.10L09	b4C2	0.0774320543141	4.29816520019	3	3	[0.0687605972063, 0.0774320543141, 0.085779034101]	[3.88658123636, 4.29816520019, 8.25729592574]
wt.c60r18.10L08	b4C1	0.233559895053	12.5209296859	3	3	[0.233559895053, 0.224220606353, 0.237587124078]	[14.251363272, 10.1961530314, 12.5209296859]
wt.c60r18.10L14	b4C7	0.15034767206	8.8868140328	3	3	[0.149198243852, 0.15034767206, 0.156408536832]	[7.77395407984, 8.8868140328, 11.6539783207]
wt.c60r18.10L13	b4C6	0.127125461154	7.41027829302	3	3	[0.127125461154, 0.124792769693, 0.134952089044]	[7.14427357289, 7.41027829302, 8.01042377426]
wt.c60r18.10L12	b4C5	1.36077817941	13.5231397723	3	3	[1.60221721965, 1.36077817941, 1.15958668082]	[20.3260481571, 10.334500707, 13.5231397723]
wt.c60r18.10L11	b4C4	0.0979736516569	6.34863728918	3	3	[0.0979736516569, 0.10679168259, 0.0657939551508]	[2.91379749016, 6.34863728918, 9.72330283173]
c82gal.10L16	b16C8	4.86440479869	13.6019616279	3	3	[4.60347072815, 4.86440479869, 5.72653506736]	[11.9241627964, 13.6019616279, 15.9356527022]
Ellinger.r18.10L13	b17A4	0.00506145027205	nan	3	0	[0.00524765975057, 0.00506145027205, 0.00464984197198]	[]
Ellinger.r18.10L14	b17A5	14.1114244256	12.0297578807	3	3	[11.4477376815, 14.1114244256, 14.6331284312]	[13.0967481634, 11.9615136747, 12.0297578807]
c62r18.10L04	b7G8	0.107743314429	4.14755478134	3	3	[0.113753556001, 0.104900699421, 0.107743314429]	[5.27058919967, 3.726890647, 4.14755478134]
c66r18	b3D6	0.128826974945	0.0729462721276	9	12	[0.111547603958, 0.105405406355, 0.113238077898, 0.128826974945, 0.138939816625, 0.154286003299, 0.150799821622, 0.128249296372, 0.129846010212]	[0.0801010718597, 0.0751783241197, 0.0730912918526, 0.061328213758, 0.0657120873093, 0.0698124445825, 0.0728012524027, 0.0690489371931, 0.121388469909, 0.101017588773, 0.0766630488484, 0.0652729474551]
c61wt.bc0.D	b8H5	0.123609262509	2.91502055233	6	6	[0.136257170319, 0.0991727610322, 0.191813245748, 0.0897954987241, 0.110961354699, 0.145649124]	[1.85844819758, 2.38959928623, 4.2559966479, 2.41889949188, 3.41114161278, 4.20931233295]
c62r18	b3D3	0.184208212704	4.72462015949	9	12	[0.141006005953, 0.143072053064, 0.168655107642, 0.184208212704, 0.177902256049, 0.184739741637, 0.22922784826, 0.216601082132, 0.224955435973]	[3.96416689803, 4.37302475476, 4.41410593626, 3.08324692076, 3.79764500321, 5.4248654564, 5.03513438271, 5.47763908008, 5.75511427961, 5.40364767599, 4.38899592353, 6.14483030445]
c81r18.10L03	b8A4	0.0315939859425	0.215165030743	3	3	[0.0325226647852, 0.0315939859425, 0.0300733839712]	[0.215165030743, 0.215626244122, 0.153158098793]
c61gal.10L14	b15G6	0.332798466422	19.0583775118	3	6	[0.317749189586, 0.332798466422, 0.395399427182]	[19.0583775118, 18.5211823519, 25.640776551, 19.0583775118, 18.5211823519, 25.640776551]
c71r18.35L08	b2A3	0.00577366296947	0.113051366986	6	6	[0.00622913173705, 0.00473734286472, 0.00379006217093, 0.00531819420188, 0.00833242597035, 0.0062823768507]	[0.176989743761, 0.129913277211, 0.112967779169, 0.113134954803, 0.0498792234422, 0.00353688126362]
Ellinger.r18.10L16	b17A7	nan	13.2231643152	2	3	[15.7197476499, 18.461249258]	[12.3453296138, 13.2231643152, 15.7249878936]
