,Construct,Name,OK_seq
b10F9,pTF1.c66.r18.10L02,c66r18.10L02,unknown
b10G1,pTF1.c66.r18.10L03,c66r18.10L03,unknown
b10G2,pTF1.c66.r18.10L04,c66r18.10L04,unknown
b10G3,pTF1.c66.r18.10L05,c66r18.10L05,unknown
b10G4,pTF1.c66.r18.10L06,c66r18.10L06,unknown
b10G5,pTF1.c66.r18.10L07,c66r18.10L07,unknown
b10G6,pTF1.c66.r18.10L08,c66r18.10L08,unknown
b10G7,pTF1.c66.r18.10L09,c66r18.10L09,unknown
b10G8,pTF1.c66.r18.10L10,c66r18.10L10,unknown
b10G9,pTF1.c66.r18.10L11,c66r18.10L11,unknown
b10H1,pTF1.c66.r18.10L12,c66r18.10L12,unknown
b10H2,pTF1.c66.r18.10L13,c66r18.10L13,unknown
b10H3,pTF1.c66.r18.10L14,c66r18.10L14,unknown
b10H4,pTF1.c66.r18.10L15,c66r18.10L15,unknown
b10H5,pTF1.c66.r18.10L16,c66r18.10L16,unknown
b10H6,pTF1.c66.r18.10L17,c66r18.10L17,unknown
b10H7,pTF1.c66.r18.10L18,c66r18.10L18,unknown
b10H8,pTF1.c66.r18.10L19,c66r18.10L19,unknown
b10H9,pTF1.c66.r18.10L20,c66r18.10L20,unknown
b10I1,pTF1.c66.r18.10L21,c66r18.10L21,unknown
b10I2,pTF1.c66.r18.10L22,c66r18.10L22,unknown
b10I3,pTF1.c66.r18.10L23,c66r18.10L23,unknown
b10I4,pTF1.c66.r18.10L24,c66r18.10L24,unknown
b10I5,pTF1.c76.r18.10L01,c76r18.10L01,unknown
b10I6,pTF1.c76.r18.10L02,c76r18.10L02,unknown
b10I7,pTF1.c76.r18.10L03,c76r18.10L03,unknown
b10I8,pTF1.c76.r18.10L04,c76r18.10L04,unknown
b10I9,pTF1.c76.r18.10L05,c76r18.10L05,unknown
b11A1,pTF1.c76.r18.10L06,c76r18.10L06,unknown
b11A2,pTF1.c76.r18.10L07,c76r18.10L07,unknown
b11A3,pTF1.c76.r18.10L08,c76r18.10L08,unknown
b11A4,pTF1.c76.r18.10L09,c76r18.10L09,unknown
b11A5,pTF1.c76.r18.10L10,c76r18.10L10,unknown
b11A6,pTF1.c76.r18.10L11,c76r18.10L11,unknown
b11A7,pTF1.c76.r18.10L12,c76r18.10L12,unknown
b11A8,pTF1.c76.r18.10L13,c76r18.10L13,unknown
b11A9,pTF1.c76.r18.10L14,c76r18.10L14,unknown
b11B1,pTF1.c76.r18.10L15,c76r18.10L15,unknown
b11B2,pTF1.c76.r18.10L16,c76r18.10L16,unknown
b11B3,pTF1.c76.r18.10L17,c76r18.10L17,unknown
b11B4,pTF1.c76.r18.10L18,c76r18.10L18,unknown
b11B5,pTF1.c76.r18.10L19,c76r18.10L19,unknown
b11B6,pTF1.c76.r18.10L20,c76r18.10L20,unknown
b11B7,pTF1.c76.r18.10L21,c76r18.10L21,unknown
b11B8,pTF1.c76.r18.10L22,c76r18.10L22,unknown
b11B9,pTF1.c76.r18.10L23,c76r18.10L23,unknown
b11C1,pTF1.c76.r18.10L24,c76r18.10L24,unknown
b11C2,pTF1.b1A1.bc2.A,b1A1.bc2.A,unknown
b11C3,pTF1.b1A1.bc2.B,b1A1.bc2.B,unknown
b11C4,pTF1.b1A1.bc2.C,b1A1.bc2.C,unknown
b11C5,pTF1.b1A1.bc2.D,b1A1.bc2.D,unknown
b11C6,pTF1.b1C7.bc2.A,b1C7.bc2.A,unknown
b11C7,pTF1.b1C7.bc2.B,b1C7.bc2.B,unknown
b11C8,pTF1.b1C7.bc2.C,b1C7.bc2.C,unknown
b11C9,pTF1.b1C7.bc2.D,b1C7.bc2.D,unknown
b11D1,pTF1.b1C8.bc2.A,b1C8.bc2.A,unknown
b11D2,pTF1.b1C8.bc2.B,b1C8.bc2.B,unknown
b11D3,pTF1.b1C8.bc2.C,b1C8.bc2.C,unknown
b11D4,pTF1.b1C8.bc2.D,b1C8.bc2.D,unknown
b11D5,pTF1.b1D2.bc2.A,b1D2.bc2.A,unknown
b11D6,pTF1.b1D2.bc2.B,b1D2.bc2.B,unknown
b11D7,pTF1.b1D2.bc2.C,b1D2.bc2.C,unknown
b11D8,pTF1.b1D2.bc2.D,b1D2.bc2.D,unknown
b11D9,pTF1.b1D3.bc2.A,b1D3.bc2.A,unknown
b11E1,pTF1.b1D3.bc2.B,b1D3.bc2.B,unknown
b11E2,pTF1.b1D3.bc2.C,b1D3.bc2.C,unknown
b11E3,pTF1.b1D3.bc2.D,b1D3.bc2.D,unknown
b11E4,pTF1.b1E2.bc2.A,b1E2.bc2.A,unknown
b11E5,pTF1.b1E2.bc2.B,b1E2.bc2.B,unknown
b11E6,pTF1.b1E2.bc2.C,b1E2.bc2.C,unknown
b11E7,pTF1.b1E2.bc2.D,b1E2.bc2.D,unknown
b11E8,pTF3.unbc.b1C2.A,b1C2.unbc.A,yes
b11E9,pTF3.unbc.b1C2.B,b1C2.unbc.B,yes
b11F1,pTF3.unbc.b1C7.A,b1C7.unbc.A,no
b11F2,pTF3.unbc.b1C7.B,b1C7.unbc.B,yes
b11F3,pTF3.unbc.b1C8.A,b1C8.unbc.A,yes
b11F4,pTF3.unbc.b1C8.B,b1C8.unbc.B,yes
b11F5,pTF3.unbc.b1D2.A,b1D2.unbc.A,yes
b11F6,pTF3.unbc.b1D2.B,b1D2.unbc.B,yes
b11F7,pTF3.unbc.b1D3.A,b1D3.unbc.A,yes
b11F8,pTF3.unbc.b1D3.B,b1D3.unbc.B,yes
b11F9,pTF3.unbc.b1E2.A,b1E2.unbc.A,yes
b11G1,pTF3.unbc.b1E2.B,b1E2.unbc.B,yes
b11G2,pTF3.b1A1.bc2.A,b1A1.bc2.A,yes
b11G3,pTF3.b1A1.bc2.B,b1A1.bc2.B,yes
b11G4,pTF3.b1A1.bc2.C,b1A1.bc2.C,yes
b11G5,pTF3.b1A1.bc2.D,b1A1.bc2.D,yes
b11G6,pTF3.b1C7.bc2.A,b1C7.bc2.A,yes
b11G7,pTF3.b1C7.bc2.B,b1C7.bc2.B,no
b11G8,pTF3.b1C7.bc2.C,b1C7.bc2.C,yes
b11G9,pTF3.b1C7.bc2.D,b1C7.bc2.D,yes
b11H1,pTF3.b1C8.bc2.A,b1C8.bc2.A,yes
b11H2,pTF3.b1C8.bc2.B,b1C8.bc2.B,yes
b11H3,pTF3.b1C8.bc2.C,b1C8.bc2.C,yes
b11H4,pTF3.b1C8.bc2.D,b1C8.bc2.D,yes
b11H5,pTF3.b1D2.bc2.A,b1D2.bc2.A,yes
b11H6,pTF3.b1D2.bc2.B,b1D2.bc2.B,yes
b11H7,pTF3.b1D2.bc2.C,b1D2.bc2.C,yes
b11H8,pTF3.b1D2.bc2.D,b1D2.bc2.D,yes
b11H9,pTF3.b1D3.bc2.A,b1D3.bc2.A,yes
b11I1,pTF3.b1D3.bc2.B,b1D3.bc2.B,yes
b11I2,pTF3.b1D3.bc2.C,b1D3.bc2.C,yes
b11I3,pTF3.b1D3.bc2.D,b1D3.bc2.D,yes
b11I4,pTF3.b1E2.bc2.A,b1E2.bc2.A,yes
b11I5,pTF3.b1E2.bc2.B,b1E2.bc2.B,yes
b11I6,pTF3.b1E2.bc2.C,b1E2.bc2.C,yes
b11I7,pTF3.b1E2.bc2.D,b1E2.bc2.D,yes
b11I8,pTF3.b1A1.bc2.E,b1A1.bc2.E,unknown
b11I9,pTF3.b1A1.bc2.F,b1A1.bc2.F,unknown
b12A1,pTF3.b1C7.bc2.E,b1C7.bc2.E,unknown
b12A2,pTF3.b1C7.bc2.F,b1C7.bc2.F,unknown
b12A3,pTF3.b1C8.bc2.E,b1C8.bc2.E,unknown
b12A4,pTF3.b1C8.bc2.F,b1C8.bc2.F,unknown
b12A5,pTF3.b1D2.bc2.E,b1D2.bc2.E,unknown
b12A6,pTF3.b1D2.bc2.F,b1D2.bc2.F,unknown
b12A7,pTF3.b1D3.bc2.E,b1D3.bc2.E,unknown
b12A8,pTF3.b1D3.bc2.F,b1D3.bc2.F,unknown
b12A9,pTF3.b1E2.bc2.E,b1E2.bc2.E,unknown
b12B1,pTF3.b1E2.bc2.F,b1E2.bc2.F,unknown
b12B2,pTF3.b1C2.bc0.A,b1C2.bc0.A,unknown
b12B3,pTF3.b1C2.bc0.B,b1C2.bc0.B,unknown
b12B4,pTF3.b1C2.bc0.C,b1C2.bc0.C,unknown
b12B5,pTF3.b1C2.bc0.D,b1C2.bc0.D,unknown
b12B6,pTF3.b1C2.bc0.E,b1C2.bc0.E,unknown
b12B7,pTF3.b1C7.bc0.A,b1C7.bc0.A,unknown
b12B8,pTF3.b1C7.bc0.B,b1C7.bc0.B,unknown
b12B9,pTF3.b1C7.bc0.C,b1C7.bc0.C,unknown
b12C1,pTF3.b1C7.bc0.D,b1C7.bc0.D,unknown
b12C2,pTF3.b1C7.bc0.E,b1C7.bc0.E,unknown
b12C3,pTF3.b1C8.bc0.A,b1C8.bc0.A,unknown
b12C4,pTF3.b1C8.bc0.B,b1C8.bc0.B,unknown
b12C5,pTF3.b1C8.bc0.C,b1C8.bc0.C,unknown
b12C6,pTF3.b1C8.bc0.D,b1C8.bc0.D,unknown
b12C7,pTF3.b1C8.bc0.E,b1C8.bc0.E,unknown
b12C8,pTF3.b1D2.bc0.A,b1D2.bc0.A,unknown
b12C9,pTF3.b1D2.bc0.B,b1D2.bc0.B,unknown
b12D1,pTF3.b1D2.bc0.C,b1D2.bc0.C,unknown
b12D2,pTF3.b1D2.bc0.D,b1D2.bc0.D,unknown
b12D3,pTF3.b1D2.bc0.E,b1D2.bc0.E,unknown
b12D4,pTF3.b1D3.bc0.A,b1D3.bc0.A,unknown
b12D5,pTF3.b1D3.bc0.B,b1D3.bc0.B,unknown
b12D6,pTF3.b1D3.bc0.C,b1D3.bc0.C,unknown
b12D7,pTF3.b1D3.bc0.D,b1D3.bc0.D,unknown
b12D8,pTF3.b1D3.bc0.E,b1D3.bc0.E,unknown
b12D9,pTF3.b1E2.bc0.A,b1E2.bc0.A,unknown
b12E1,pTF3.b1E2.bc0.B,b1E2.bc0.B,unknown
b12E2,pTF3.b1E2.bc0.C,b1E2.bc0.C,unknown
b12E3,pTF3.b1E2.bc0.D,b1E2.bc0.D,unknown
b12E4,pTF3.b1E2.bc0.E,b1E2.bc0.E,unknown
b12E5,pTF3.b2C7.bc0.A,b2C7.bc0.A,unknown
b12E6,pTF3.b2C7.bc0.B,b2C7.bc0.B,unknown
b12E7,pTF3.b2C7.bc0.C,b2C7.bc0.C,unknown
b12E8,pTF3.b2C7.bc0.D,b2C7.bc0.D,unknown
b12E9,pTF3.b2C7.bc0.E,b2C7.bc0.E,unknown
b12F1,pTF3.b2D1.bc0.A,b2D1.bc0.A,unknown
b12F2,pTF3.b2D1.bc0.B,b2D1.bc0.B,unknown
b12F3,pTF3.b2D1.bc0.C,b2D1.bc0.C,unknown
b12F4,pTF3.b2D1.bc0.D,b2D1.bc0.D,unknown
b12F5,pTF3.b2D1.bc0.E,b2D1.bc0.E,unknown
b12F6,pTF3.b2D6.bc0.A,b2D6.bc0.A,unknown
b12F7,pTF3.b2D6.bc0.B,b2D6.bc0.B,unknown
b12F8,pTF3.b2D6.bc0.C,b2D6.bc0.C,unknown
b12F9,pTF3.b2D6.bc0.D,b2D6.bc0.D,unknown
b12G1,pTF3.b2D6.bc0.E,b2D6.bc0.E,unknown
b12G2,pTF3.b2D7.bc0.A,b2D7.bc0.A,unknown
b12G3,pTF3.b2D7.bc0.B,b2D7.bc0.B,unknown
b12G4,pTF3.b2D7.bc0.C,b2D7.bc0.C,unknown
b12G5,pTF3.b2D7.bc0.D,b2D7.bc0.D,unknown
b12G6,pTF3.b2D7.bc0.E,b2D7.bc0.E,unknown
b12G7,pTF3.b2E6.bc0.A,b2E6.bc0.A,unknown
b12G8,pTF3.b2E6.bc0.B,b2E6.bc0.B,unknown
b12G9,pTF3.b2E6.bc0.C,b2E6.bc0.C,unknown
b12H1,pTF3.b2E6.bc0.D,b2E6.bc0.D,unknown
b12H2,pTF3.b2E6.bc0.E,b2E6.bc0.E,unknown
b12H3,pTF3.b2E8.bc0.A,b2E8.bc0.A,unknown
b12H4,pTF3.b2E8.bc0.B,b2E8.bc0.B,unknown
b12H5,pTF3.b2E8.bc0.C,b2E8.bc0.C,unknown
b12H6,pTF3.b2E8.bc0.D,b2E8.bc0.D,unknown
b12H7,pTF3.b2E8.bc0.E,b2E8.bc0.E,unknown
b12H8,pTF1.c37.r18.A,c37r18.A,yes
b12H9,pTF1.c37.r18.B,c37r18.B,yes
b12I1,pTF1.c40.r18.A,c40r18.A,yes
b12I2,pTF1.c40.r18.B,c40r18.B,yes
b12I3,pTF1.c40.r18.C,c40r18.C,yes
b12I4,pTF1.c42.r18.A,c42r18.A,yes
b12I5,pTF1.c42.r18.B,c42r18.B,yes
b12I6,pTF1.c42.r18.C,c42r18.C,yes
b12I7,pTF1.c43.r18.A,c43r18.A,yes
b12I8,pTF1.c43.r18.B,c43r18.B,yes
b12I9,pTF1.c44.r18.A,c44r18.A,yes
b13A1,pTF1.c61r17.35wt10con.A,r17.35wt10con,yes
b13A2,pTF1.c61r17.35wt10con.B,r17.35wt10con,yes
b13A3,pTF1.c61r17.35wt10extcon.A,r17.35wt10extcon,yes
b13A4,pTF1.c61r17.35wt10extcon.B,r17.35wt10extcon,yes
b13A5,pTF1.c61r17.35con10wt.A,r17.35con10wt,yes
b13A6,pTF1.c61r17.35con10wt.B,r17.35con10wt,yes
b13A7,pTF1.c61r17.35con10con.A,r17.35con10con,yes
b13A8,pTF1.c61r17.35con10con.B,r17.35con10con,yes
b13A9,pTF1.c61r17.35con10extcon.A,r17.35con10extcon,yes
b13B1,pTF1.c61r17.35con10extcon.B,r17.35con10extcon,yes
b13B2,pTF1.c61r17.10extcon.35L01,r17.10extcon35L01,yes
b13B3,pTF1.c61r17.10extcon.35L02,r17.10extcon35L02,yes
b13B4,pTF1.c61r17.10extcon.35L03,r17.10extcon35L03,yes
b13B5,pTF1.c61r17.10extcon.35L04,r17.10extcon35L04,unknown
b13B6,pTF1.c61r17.10extcon.35L05,r17.10extcon35L05,yes
b13B7,pTF1.c61r17.10extcon.35L06,r17.10extcon35L06,yes
b13B8,pTF1.c61r17.10extcon.35L07,r17.10extcon35L07,yes
b13B9,pTF1.c61r17.10extcon.35L08,r17.10extcon35L08,yes
b13C1,pTF1.c61r17.10extcon.35L09,r17.10extcon35L09,yes
b13C2,pTF1.c61r17.10extcon.35L10,r17.10extcon35L10,yes
b13C3,pTF1.c61r17.10extcon.35L11,r17.10extcon35L11,no
b13C4,pTF1.c61r17.10extcon.35L12,r17.10extcon35L12,unknown
b13C5,pTF1.c61r17.35wt10L01,r17.35wt10L01,yes
b13C6,pTF1.c61r17.35wt10L02,r17.35wt10L02,yes
b13C7,pTF1.c61r17.35wt10L03,r17.35wt10L03,no
b13C8,pTF1.c61r17.35wt10L04,r17.35wt10L04,yes
b13C9,pTF1.c61r17.35wt10L05,r17.35wt10L05,yes
b13D1,pTF1.c61r17.35wt10L06,r17.35wt10L06,yes
b13D2,pTF1.c61r17.35wt10L07,r17.35wt10L07,yes
b13D3,pTF1.c61r17.35wt10L08,r17.35wt10L08,no
b13D4,pTF1.c61r17.35wt10L09,r17.35wt10L09,yes
b13D5,pTF1.c61r17.35wt10L10,r17.35wt10L10,yes
b13D6,pTF1.c61r17.35wt10L11,r17.35wt10L11,yes
b13D7,pTF1.c61r17.35con10L01,r17.35con10L01,yes
b13D8,pTF1.c61r17.35con10L02,r17.35con10L02,unknown
b13D9,pTF1.c61r17.35con10L03,r17.35con10L03,yes
b13E1,pTF1.c61r17.35con10L04,r17.35con10L04,yes
b13E2,pTF1.c61r17.35con10L05,r17.35con10L05,yes
b13E3,pTF1.c61r17.35con10L06,r17.35con10L06,yes
b13E4,pTF1.c61r17.35con10L07,r17.35con10L07,unknown
b13E5,pTF1.c61r17.35con10L08,r17.35con10L08,yes
b13E6,pTF1.c61r17.35con10L09,r17.35con10L09,no
b13E7,pTF1.c61r17.35con10L10,r17.35con10L10,yes
b13E8,pTF1.c61r17.35con10L11,r17.35con10L11,yes
b13E9,pTF1.c61r17.10wt35L01,r17.10wt35L01,yes
b13F1,pTF1.c61r17.10wt35L02,r17.10wt35L02,yes
b13F2,pTF1.c61r17.10wt35L03,r17.10wt35L03,yes
b13F3,pTF1.c61r17.10wt35L04,r17.10wt35L04,yes
b13F4,pTF1.c61r17.10wt35L05,r17.10wt35L05,yes
b13F5,pTF1.c61r17.10wt35L06,r17.10wt35L06,unknown
b13F6,pTF1.c61r17.10wt35L07,r17.10wt35L07,yes
b13F7,pTF1.c61r17.10wt35L08,r17.10wt35L08,yes
b13F8,pTF1.c61r17.10wt35L09,r17.10wt35L09,unknown
b13F9,pTF1.c61r17.10wt35L10,r17.10wt35L10,unknown
b13G1,pTF1.c61r17.10wt35L11,r17.10wt35L11,unknown
b13G2,pTF1.c61r17.10con35L01,r17.10con35L01,unknown
b13G3,pTF1.c61r17.10con35L02,r17.10con35L02,unknown
b13G4,pTF1.c61r17.10con35L03,r17.10con35L03,yes
b13G5,pTF1.c61r17.10con35L04,r17.10con35L04,yes
b13G6,pTF1.c61r17.10con35L05,r17.10con35L05,unknown
b13G7,pTF1.c61r17.10con35L06,r17.10con35L06,no
b13G8,pTF1.c61r17.10con35L07,r17.10con35L07,yes
b13G9,pTF1.c61r17.10con35L08,r17.10con35L08,yes
b13H1,pTF1.c61r17.10con35L09,r17.10con35L09,yes
b13H2,pTF1.c61r17.10con35L10,r17.10con35L10,yes
b13H3,pTF1.c61r17.10con35L11,r17.10con35L11,yes
b13H4,pTF1.c82r18.10L01,c82.10L01,unknown
b13H5,pTF1.c82r18.10L02,c82.10L02,unknown
b13H6,pTF1.c82r18.10L03,c82.10L03,unknown
b13H7,pTF1.c82r18.10L04,c82.10L04,unknown
b13H8,pTF1.c82r18.10L05,c82.10L05,unknown
b13H9,pTF1.c82r18.10L06,c82.10L06,unknown
b13I1,pTF1.c82r18.10L07,c82.10L07,unknown
b13I2,pTF1.c82r18.10L08,c82.10L08,no
b13I3,pTF1.c82r18.10L09,c82.10L09,unknown
b13I4,pTF1.c82r18.10L10,c82.10L10,unknown
b13I5,pTF1.c82r18.10L11,c82.10L11,unknown
b13I6,pTF1.c82r18.10L12,c82.10L12,unknown
b13I7,pTF1.c82r18.10L13,c82.10L13,unknown
b13I8,pTF1.c82r18.10L14,c82.10L14,unknown
b13I9,pTF1.c82r18.10L15,c82.10L15,unknown
b14A1,pTF1.c82r18.10L16,c82.10L16,yes
b14A2,pTF1.c82r18.10L17,c82.10L17,unknown
b14A3,pTF1.c82r18.10L18,c82.10L18,unknown
b14A4,pTF1.c82r18.10L19,c82.10L19,unknown
b14A5,pTF1.c82r18.10L20,c82.10L20,yes
b14A6,pTF1.c82r18.10L21,c82.10L21,unknown
b14A7,pTF1.c82r18.10L22,c82.10L22,unknown
b14A8,pTF1.c72r18.10L01,c72.10L01,unknown
b14A9,pTF1.c72r18.10L02,c72.10L02,unknown
b14B1,pTF1.c72r18.10L03,c72.10L03,yes
b14B2,pTF1.c72r18.10L04,c72.10L04,unknown
b14B3,pTF1.c72r18.10L05,c72.10L05,unknown
b14B4,pTF1.c72r18.10L06,c72.10L06,unknown
b14B5,pTF1.c72r18.10L07,c72.10L07,unknown
b14B6,pTF1.c72r18.10L08,c72.10L08,yes
b14B7,pTF1.c72r18.10L09,c72.10L09,unknown
b14B8,pTF1.c72r18.10L10,c72.10L10,unknown
b14B9,pTF1.c72r18.10L11,c72.10L11,yes
b14C1,pTF1.c72r18.10L12,c72.10L12,yes
b14C2,pTF1.c72r18.10L13,c72.10L13,yes
b14C3,pTF1.c72r18.10L14,c72.10L14,unknown
b14C4,pTF1.c72r18.10L15,c72.10L15,unknown
b14C5,pTF1.c72r18.10L16,c72.10L16,unknown
b14C6,pTF1.c72r18.10L17,c72.10L17,unknown
b14C7,pTF1.c72r18.10L18,c72.10L18,yes
b14C8,pTF1.c72r18.10L19,c72.10L19,yes
b14C9,pTF1.c72r18.10L20,c72.10L20,unknown
b14D1,pTF1.c72r18.10L21,c72.10L21,no
b14D2,pTF1.c72r18.10L22,c72.10L22,unknown
b14D3,pTF1.c41.lac.1,c41.lac1,unknown
b14D4,pTF1.c41.lac.2,c41.lac2,unknown
b14D5,pTF1.c41.lac.3,c41.lac3,unknown
b14D6,pTF1.c41.gal.1,c41.gal1,unknown
b14D7,pTF1.c41.gal.2,c41.gal2,unknown
b14D8,pTF1.c41.gal.3,c41.gal3,unknown
b14D9,pTF1.c41.mel.1,c41.mel1,unknown
b14E1,pTF1.c41.mel.2,c41.mel2,unknown
b14E2,pTF1.c41.mel.3,c41.mel3,unknown
b14E3,pTF1.c40.r18.10L01,c40.10L01,unknown
b14E4,pTF1.c40.r18.10L02,c40.10L02,unknown
b14E5,pTF1.c40.r18.10L03,c40.10L03,unknown
b14E6,pTF1.c40.r18.10L04,c40.10L04,unknown
b14E7,pTF1.c40.r18.10L05,c40.10L05,unknown
b14E8,pTF1.c40.r18.10L06,c40.10L06,yes
b14E9,pTF1.c40.r18.10L07,c40.10L07,unknown
b14F1,pTF1.c40.r18.10L08,c40.10L08,yes
b14F2,pTF1.c40.r18.10L09,c40.10L09,unknown
b14F3,pTF1.c40.r18.10L10,c40.10L10,unknown
b14F4,pTF1.c40.r18.10L11,c40.10L11,unknown
b14F5,pTF1.c41.r18.10L01,c41.10L01,unknown
b14F6,pTF1.c41.r18.10L02,c41.10L02,unknown
b14F7,pTF1.c41.r18.10L03,c41.10L03,unknown
b14F8,pTF1.c41.r18.10L04,c41.10L04,unknown
b14F9,pTF1.c41.r18.10L05,c41.10L05,unknown
b14G1,pTF1.c41.r18.10L06,c41.10L06,unknown
b14G2,pTF1.c41.r18.10L07,c41.10L07,unknown
b14G3,pTF1.c41.r18.10L08,c41.10L08,unknown
b14G4,pTF1.c41.r18.10L09,c41.10L09,unknown
b14G5,pTF1.c41.r18.10L10,c41.10L10,unknown
b14G6,pTF1.c41.r18.10L11,c41.10L11,unknown
b14G7,pTF1.c40.r18.10L12,c40.10L12,unknown
b14G8,pTF1.c40.r18.10L13,c40.10L13,yes
b14G9,pTF1.c40.r18.10L14,c40.10L14,unknown
b14H1,pTF1.c40.r18.10L15,c40.10L15,unknown
b14H2,pTF1.c40.r18.10L16,c40.10L16,unknown
b14H3,pTF1.c40.r18.10L17,c40.10L17,unknown
b14H4,pTF1.c40.r18.10L18,c40.10L18,unknown
b14H5,pTF1.c40.r18.10L19,c40.10L19,yes
b14H6,pTF1.c40.r18.10L20,c40.10L20,yes
b14H7,pTF1.c40.r18.10L21,c40.10L21,unknown
b14H8,pTF1.c40.r18.10L22,c40.10L22,unknown
b14H9,pTF1.c41.r18.10L12,c41.10L12,unknown
b14I1,pTF1.c41.r18.10L13,c41.10L13,unknown
b14I2,pTF1.c41.r18.10L14,c41.10L14,unknown
b14I3,pTF1.c41.r18.10L15,c41.10L15,unknown
b14I4,pTF1.c41.r18.10L16,c41.10L16,unknown
b14I5,pTF1.c41.r18.10L17,c41.10L17,unknown
b14I6,pTF1.c41.r18.10L18,c41.10L18,unknown
b14I7,pTF1.c41.r18.10L19,c41.10L19,unknown
b14I8,pTF1.c41.r18.10L20,c41.10L20,unknown
b14I9,pTF1.c41.r18.10L21,c41.10L21,unknown
b15A1,pTF1.c41.r18.10L22,c41.10L22,unknown
b15A2,pTF1.c41.gal.10L01,gal.10L01,unknown
b15A3,pTF1.c41.gal.10L02,gal.10L02,unknown
b15A4,pTF1.c41.gal.10L03,gal.10L03,unknown
b15A5,pTF1.c41.gal.10L04,gal.10L04,unknown
b15A6,pTF1.c41.gal.10L05,gal.10L05,unknown
b15A7,pTF1.c41.gal.10L06,gal.10L06,unknown
b15A8,pTF1.c41.gal.10L07,gal.10L07,unknown
b15A9,pTF1.c41.gal.10L08,gal.10L08,unknown
b15B1,pTF1.c41.gal.10L09,gal.10L09,unknown
b15B2,pTF1.c41.gal.10L10,gal.10L10,unknown
b15B3,pTF1.c41.gal.10L11,gal.10L11,unknown
b15B4,pTF1.c41.gal.10L12,gal.10L12,unknown
b15B5,pTF1.c41.gal.10L13,gal.10L13,unknown
b15B6,pTF1.c41.gal.10L14,gal.10L14,unknown
b15B7,pTF1.c41.gal.10L15,gal.10L15,unknown
b15B8,pTF1.c41.gal.10L16,gal.10L16,unknown
b15B9,pTF1.c41.gal.10L17,gal.10L17,unknown
b15C1,pTF1.c41.gal.10L18,gal.10L18,unknown
b15C2,pTF1.c41.gal.10L19,gal.10L19,unknown
b15C3,pTF1.c41.gal.10L20,gal.10L20,unknown
b15C4,pTF1.c41.gal.10L21,gal.10L21,unknown
b15C5,pTF1.c41.gal.10L22,gal.10L22,unknown
b15C6,pTF1.c40.r18.10L23,c40.10L23,unknown
b15C7,pTF1.c40.r18.10L24,c40.10L24,unknown
b15C8,pTF1.c40.r18.10L25,c40.10L25,unknown
b15C9,pTF1.c40.r18.10L26,c40.10L26,unknown
b15D1,pTF1.c40.r18.10L27,c40.10L27,unknown
b15D2,pTF1.c40.r18.10L28,c40.10L28,unknown
b15D3,pTF1.c40.r18.10L29,c40.10L29,unknown
b15D4,pTF1.c40.r18.10L30,c40.10L30,unknown
b15D5,pTF1.c40.r18.10L31,c40.10L31,unknown
b15D6,pTF1.c40.r18.10L32,c40.10L32,unknown
b15D7,pTF1.c40.r18.10L33,c40.10L33,unknown
b15D8,pTF1.c41.r18.10L23,c41.10L23,unknown
b15D9,pTF1.c41.r18.10L24,c41.10L24,unknown
b15E1,pTF1.c41.r18.10L25,c41.10L25,unknown
b15E2,pTF1.c41.r18.10L26,c41.10L26,unknown
b15E3,pTF1.c41.r18.10L27,c41.10L27,unknown
b15E4,pTF1.c41.r18.10L28,c41.10L28,unknown
b15E5,pTF1.c41.r18.10L29,c41.10L29,unknown
b15E6,pTF1.c41.r18.10L30,c41.10L30,unknown
b15E7,pTF1.c41.r18.10L31,c41.10L31,unknown
b15E8,pTF1.c41.r18.10L32,c41.10L32,unknown
b15E9,pTF1.c41.r18.10L33,c41.10L33,unknown
b15F1,pTF1.c61gal.wt,c61gal.wt,unknown
b15F2,pTF1.c61gal.10L01,c61gal.10L01,unknown
b15F3,pTF1.c61gal.10L02,c61gal.10L02,unknown
b15F4,pTF1.c61gal.10L03,c61gal.10L03,unknown
b15F5,pTF1.c61gal.10L04,c61gal.10L04,unknown
b15F6,pTF1.c61gal.10L05,c61gal.10L05,unknown
b15F7,pTF1.c61gal.10L06,c61gal.10L06,unknown
b15F8,pTF1.c61gal.10L07,c61gal.10L07,unknown
b15F9,pTF1.c61gal.10L08,c61gal.10L08,unknown
b15G1,pTF1.c61gal.10L09,c61gal.10L09,unknown
b15G2,pTF1.c61gal.10L10,c61gal.10L10,unknown
b15G3,pTF1.c61gal.10L11,c61gal.10L11,unknown
b15G4,pTF1.c61gal.10L12,c61gal.10L12,unknown
b15G5,pTF1.c61gal.10L13,c61gal.10L13,unknown
b15G6,pTF1.c61gal.10L14,c61gal.10L14,unknown
b15G7,pTF1.c61gal.10L15,c61gal.10L15,unknown
b15G8,pTF1.c61gal.10L16,c61gal.10L16,unknown
b15G9,pTF1.c61gal.10L17,c61gal.10L17,unknown
b15H1,pTF1.c61gal.10L18,c61gal.10L18,unknown
b15H2,pTF1.c61gal.10L19,c61gal.10L19,unknown
b15H3,pTF1.c61gal.10L20,c61gal.10L20,unknown
b15H4,pTF1.c61gal.10L21,c61gal.10L21,unknown
b15H5,pTF1.c71gal.A,c71gal.wtA,unknown
b15H6,pTF1.c71gal.B,c71gal.wtB,unknown
b15H7,pTF1.c71gal.10L01,c71gal.10L01,unknown
