,Construct,Name,OK_seq
b3B1,pTF1.61c-.r17.n10a2,61c-r17.n10a,unknown
b3B2,pTF1.61c-.r17.n10b1,61c-r17.n10b,yes
b3B3,pTF1.61c-.r17.n10b2,61c-r17.n10b,unknown
b3B4,pTF1.61c-.r16.n10a1,61c-r16.n10a,yes
b3B5,pTF1.61c-.r16.n10a2,61c-r16.n10a,unknown
b3B6,pTF1.61c-.r16.n10b1,61c-r16.n10b,yes
b3B7,pTF1.61c-.r16.n10b2,61c-r16.n10b,unknown
b3B8,pTF1.c71.r18.n10a1,c71r18.n10a,yes
b3B9,pTF1.c71.r18.n10a2,c71r18.n10a,unknown
b3C1,pTF1.c71.r18.n10b1,c71r18.n10b,yes
b3C2,pTF1.c71.r18.n10b2,c71r18.n10b,unknown
b3C3,pTF1.71c-r18.n10a1,71c-r18.n10a,yes
b3C4,pTF1.71c-r18.n10a2,71c-r18.n10a,unknown
b3C5,pTF1.71c-r18.n10b1,71c-r18.n10b,yes
b3C6,pTF1.71c-r18.n10b2,71c-r18.n10b,unknown
b3C7,pTF1.c60.r18.A,c60r18,yes
b3C8,pTF1.c60.r18.B,c60r18,unknown
b3C9,pTF1.60c-.r18.A,60c-r18,yes
b3D1,pTF1.60c-.r18.B,60c-r18,unknown
b3D2,pTF1.c62.r18.A,c62r18,no
b3D3,pTF1.c62.r18.B,c62r18,yes
b3D4,pTF1.62c-.r18.A,62c-r18,yes
b3D5,pTF1.62c-.r18.B,62c-r18,unknown
b3D6,pTF1.c66.r18.A,c66r18,yes
b3D7,pTF1.c66.r18.B,c66r18,unknown
b3D8,pTF1.66c-.r18.A,66c-r18,yes
b3D9,pTF1.66c-.r18.B,66c-r18,unknown
b3E1,pTF1.c70.r18.A,c70r18,yes
b3E2,pTF1.c70.r18.B,c70r18,unknown
b3E3,pTF1.70c-.r18.A,70c-r18,yes
b3E4,pTF1.70c-.r18.B,70c-r18,unknown
b3E5,pTF1.c72.r18.A,c72r18,yes
b3E6,pTF1.c72.r18.B,c72r18,unknown
b3E7,pTF1.72c-.r18.A,72c-r18,yes
b3E8,pTF1.72c-.r18.B,72c-r18,unknown
b3E9,pTF1.c73.r18.A,c73r18,yes
b3F1,pTF1.c73.r18.B,c73r18,unknown
b3F2,pTF1.73c-.r18.A,73c-r18,yes
b3F3,pTF1.73c-.r18.B,73c-r18,unknown
b3F4,pTF1.c76.r18.A,c76r18,yes
b3F5,pTF1.c76.r18.B,c76r18,unknown
b3F6,pTF1.76c-.r18.A,76c-r18,yes
b3F7,pTF1.76c-.r18.B,76c-r18,unknown
b3F8,pTF1.c80.r18.A,c80r18,yes
b3F9,pTF1.c80.r18.B,c80r18,unknown
b3G1,pTF1.80c-.r18.A,80c-r18,yes
b3G2,pTF1.80c-.r18.B,80c-r18,unknown
b3G3,pTF1.c81.r18.A,c81r18,yes
b3G4,pTF1.c81.r18.B,c81r18,unknown
b3G5,pTF1.81c-.r18.A,81c-r18,yes
b3G6,pTF1.81c-.r18.B,81c-r18,unknown
b3G7,pTF1.c82.r18.A,c82r18,yes
b3G8,pTF1.c82.r18.B,c82r18,unknown
b3G9,pTF1.82c-.r18.A,82c-r18,yes
b3H1,pTF1.82c-.r18.B,82c-r18,unknown
b3H2,pTF1.c83.r18.A,c83r18,yes
b3H3,pTF1.c83.r18.B,c83r18,unknown
b3H4,pTF1.83c-.r18.A,83c-r18,yes
b3H5,pTF1.83c-.r18.B,83c-r18,unknown
b3H6,pTF2.c60.r18.35L01,wt.c60r18.35L01,unknown
b3H7,pTF2.c60.r18.35L02,wt.c60r18.35L02,unknown
b3H8,pTF2.c60.r18.35L03,wt.c60r18.35L03,unknown
b3H9,pTF2.c60.r18.35L04,wt.c60r18.35L04,unknown
b3I1,pTF2.c60.r18.35L05,wt.c60r18.35L05,unknown
b3I2,pTF2.c60.r18.35L06,wt.c60r18.35L06,unknown
b3I3,pTF2.c60.r18.35L07,wt.c60r18.35L07,unknown
b3I4,pTF2.c60.r18.35L08,wt.c60r18.35L08,unknown
b3I5,pTF2.c60.r18.35L09,wt.c60r18.35L09,unknown
b3I6,pTF2.c60.r18.35L10,wt.c60r18.35L10,unknown
b3I7,pTF2.c60.r18.35L11,wt.c60r18.35L11,unknown
b3I8,pTF2.c60.r18.35L12,wt.c60r18.35L12,unknown
b3I9,pTF2.c60.r18.35L13,wt.c60r18.35L13,unknown
b4A1,pTF2.c60.r18.35L14,wt.c60r18.35L14,unknown
b4A2,pTF2.c60.r18.35L15,wt.c60r18.35L15,unknown
b4A3,pTF2.c60.r18.35L16,wt.c60r18.35L16,unknown
b4A4,pTF2.c60.r18.35L17,wt.c60r18.35L17,unknown
b4A5,pTF2.c60.r18.35L18,wt.c60r18.35L18,unknown
b4A6,pTF2.c60.r18.35L19,wt.c60r18.35L19,unknown
b4A7,pTF2.c60.r18.35L20,wt.c60r18.35L20,unknown
b4A8,pTF2.c60.r18.35L21,wt.c60r18.35L21,unknown
b4A9,pTF2.c60.r18.35L22,wt.c60r18.35L22,unknown
b4B1,pTF2.c60.r18.35L23,wt.c60r18.35L23,unknown
b4B2,pTF2.c60.r18.35L24,wt.c60r18.35L24,unknown
b4B3,pTF2.c60.r18.10L01,wt.c60r18.10L01,unknown
b4B4,pTF2.c60.r18.10L02,wt.c60r18.10L02,unknown
b4B5,pTF2.c60.r18.10L03,wt.c60r18.10L03,unknown
b4B6,pTF2.c60.r18.10L04,wt.c60r18.10L04,unknown
b4B7,pTF2.c60.r18.10L05,wt.c60r18.10L05,unknown
b4B8,pTF2.c60.r18.10L06,wt.c60r18.10L06,unknown
b4B9,pTF2.c60.r18.10L07,wt.c60r18.10L07,unknown
b4C1,pTF2.c60.r18.10L08,wt.c60r18.10L08,unknown
b4C2,pTF2.c60.r18.10L09,wt.c60r18.10L09,unknown
b4C3,pTF2.c60.r18.10L10,wt.c60r18.10L10,unknown
b4C4,pTF2.c60.r18.10L11,wt.c60r18.10L11,unknown
b4C5,pTF2.c60.r18.10L12,wt.c60r18.10L12,unknown
b4C6,pTF2.c60.r18.10L13,wt.c60r18.10L13,unknown
b4C7,pTF2.c60.r18.10L14,wt.c60r18.10L14,unknown
b4C8,pTF2.c60.r18.10L15,wt.c60r18.10L15,unknown
b4C9,pTF2.c60.r18.10L16,wt.c60r18.10L16,unknown
b4D1,pTF2.c60.r18.10L17,wt.c60r18.10L17,unknown
b4D2,pTF2.c60.r18.10L18,wt.c60r18.10L18,unknown
b4D3,pTF2.c60.r18.10L19,wt.c60r18.10L19,unknown
b4D4,pTF2.c60.r18.10L20,wt.c60r18.10L20,unknown
b4D5,pTF2.c60.r18.10L21,wt.c60r18.10L21,unknown
b4D6,pTF2.c60.r18.10L22,wt.c60r18.10L22,unknown
b4D7,pTF2.c60.r18.10L23,wt.c60r18.10L23,unknown
b4D8,pTF2.c60.r18.10L24,wt.c60r18.10L24,unknown
b4D9,pTF2.c61.r18.10L01,wt.c61r18.10L01,unknown
b4E1,pTF2.c61.r18.10L02,wt.c61r18.10L02,unknown
b4E2,pTF2.c61.r18.10L03,wt.c61r18.10L03,unknown
b4E3,pTF2.c61.r18.10L04,wt.c61r18.10L04,unknown
b4E4,pTF2.c61.r18.10L05,wt.c61r18.10L05,unknown
b4E5,pTF2.c61.r18.10L06,wt.c61r18.10L06,unknown
b4E6,pTF2.c61.r18.10L07,wt.c61r18.10L07,unknown
b4E7,pTF2.c61.r18.10L08,wt.c61r18.10L08,unknown
b4E8,pTF2.c61.r18.10L09,wt.c61r18.10L09,unknown
b4E9,pTF2.c61.r18.10L10,wt.c61r18.10L10,unknown
b4F1,pTF2.c61.r18.10L11,wt.c61r18.10L11,unknown
b4F2,pTF2.c61.r18.10L12,wt.c61r18.10L12,unknown
b4F3,pTF2.c61.r18.10L13,wt.c61r18.10L13,unknown
b4F4,pTF2.c61.r18.10L14,wt.c61r18.10L14,unknown
b4F5,pTF2.c61.r18.10L15,wt.c61r18.10L15,unknown
b4F6,pTF2.c61.r18.10L16,wt.c61r18.10L16,unknown
b4F7,pTF2.c61.r18.10L17,wt.c61r18.10L17,unknown
b4F8,pTF2.c61.r18.10L18,wt.c61r18.10L18,unknown
b4F9,pTF2.c61.r18.10L19,wt.c61r18.10L19,unknown
b4G1,pTF2.c61.r18.10L20,wt.c61r18.10L20,unknown
b4G2,pTF2.c61.r18.10L21,wt.c61r18.10L21,unknown
b4G3,pTF2.c61.r18.10L22,wt.c61r18.10L22,unknown
b4G4,pTF2.c61.r18.10L23,wt.c61r18.10L23,unknown
b4G5,pTF2.c61.r18.10L24,wt.c61r18.10L24,unknown
b4G6,pTF2.c71.r18.10L01,wt.c71r18.10L01,unknown
b4G7,pTF2.c71.r18.10L02,wt.c71r18.10L02,unknown
b4G8,pTF2.c71.r18.10L03,wt.c71r18.10L03,unknown
b4G9,pTF2.c71.r18.10L04,wt.c71r18.10L04,unknown
b4H1,pTF2.c71.r18.10L05,wt.c71r18.10L05,unknown
b4H2,pTF2.c71.r18.10L06,wt.c71r18.10L06,unknown
b4H3,pTF2.c71.r18.10L07,wt.c71r18.10L07,unknown
b4H4,pTF2.c71.r18.10L08,wt.c71r18.10L08,unknown
b4H5,pTF2.c71.r18.10L09,wt.c71r18.10L09,unknown
b4H6,pTF2.c71.r18.10L10,wt.c71r18.10L10,unknown
b4H7,pTF2.c71.r18.10L11,wt.c71r18.10L11,unknown
b4H8,pTF2.c71.r18.10L12,wt.c71r18.10L12,unknown
b4H9,pTF2.c71.r18.10L13,wt.c71r18.10L13,unknown
b4I1,pTF2.c71.r18.10L14,wt.c71r18.10L14,unknown
b4I2,pTF2.c71.r18.10L15,wt.c71r18.10L15,unknown
b4I3,pTF2.c71.r18.10L16,wt.c71r18.10L16,unknown
b4I4,pTF2.c71.r18.10L17,wt.c71r18.10L17,unknown
b4I5,pTF2.c71.r18.10L18,wt.c71r18.10L18,unknown
b4I6,pTF2.c71.r18.10L19,wt.c71r18.10L19,unknown
b4I7,pTF2.c71.r18.10L20,wt.c71r18.10L20,unknown
b4I8,pTF2.c71.r18.10L21,wt.c71r18.10L21,unknown
b4I9,pTF2.c71.r18.10L22,wt.c71r18.10L22,unknown
b5A1,pTF2.c71.r18.10L23,wt.c71r18.10L23,unknown
b5A2,pTF2.c71.r18.10L24,wt.c71r18.10L24,unknown
b5A3,pTF1.61c-ocl.35Lp1,61c-ocl.35pool,no
b5A4,pTF1.61c-ocl.35Lp2,61c-ocl.35pool,no
b5A5,pTF1.c61ocl.A,c61ocl,yes
b5A6,pTF1.c61ocl.B,c61ocl_r17,yes
b5A7,pTF1.61c-ocl.A,61c-ocl,no
b5A8,pTF1.61c-ocl.B,61c-ocl,yes
b5A9,pTF1.71c-ocl.A,71c-ocl,yes
b5B1,pTF1.71c-ocl.B,71c-ocl,no
b5B2,pTF1.61c-ocl.35L01,61c-ocl.35L01,yes
b5B3,pTF1.61c-ocl.35L02,61c-ocl.35L02,yes
b5B4,pTF1.61c-ocl.35L03,61c-ocl.35L03_1d,no
b5B5,pTF1.61c-ocl.35L04,61c-ocl.35L04,yes
b5B6,pTF1.61c-ocl.35L05,61c-ocl.35L05_r17,no
b5B7,pTF1.61c-ocl.35L06,61c-ocl.35L06,yes
b5B8,pTF1.61c-ocl.35L07,61c-ocl.35L07,yes
b5B9,pTF1.61c-ocl.35L08,61c-ocl.35L08,yes
b5C1,pTF1.61c-ocl.35L09,61c-ocl.35L09,yes
b5C2,pTF1.61c-ocl.35L10,61c-ocl.35L10,yes
b5C3,pTF1.61c-ocl.35L11,61c-ocl.35L11,yes
b5C4,pTF1.61c-ocl.35L12,61c-ocl.35L12,yes
b5C5,pTF1.61c-ocl.35L13,61c-ocl.35L13,yes
b5C6,pTF1.61c-ocl.35L14,61c-ocl.35L14_2d,no
b5C7,pTF1.61c-ocl.35L15,61c-ocl.35L15,yes
b5C8,pTF1.61c-ocl.35L16,61c-ocl.35L16,yes
b5C9,pTF1.61c-ocl.35L17,61c-ocl.35L17,yes
b5D1,pTF1.61c-ocl.35L18,61c-ocl.35L18,yes
b5D2,pTF1.61c-ocl.35L19,61c-ocl.35L19,yes
b5D3,pTF1.61c-ocl.35L20,61c-ocl.35L20,yes
b5D4,pTF1.61c-ocl.35L21,61c-ocl.35L21,yes
b5D5,pTF1.61c-ocl.35L22,61c-ocl.35L22,yes
b5D6,pTF1.61c-ocl.35L23,61c-ocl.35L23,yes
b5D7,pTF1.61c-ocl.35L24,61c-ocl.35L24,yes
b5D8,pTF1.61c-.oc0.35Lp1,oc0.35Lp1,no
b5D9,pTF1.61c-.oc0.35Lp2,oc0.35Lp2,no
b5E1,pTF1.61c-.oc-2.A,61c-oc-2,unknown
b5E2,pTF1.61c-.oc-2.B,61c-oc-2,unknown
b5E3,pTF1.61c-.oc0.A,61c-oc0,no
b5E4,pTF1.61c-.oc0.B,61c-oc0,yes
b5E5,pTF1.61c-.oc1.A,61c-oc1,unknown
b5E6,pTF1.61c-.oc1.B,61c-oc1,unknown
b5E7,pTF1.61c-.oc2.A,61c-oc2,unknown
b5E8,pTF1.61c-.oc2.B,61c-oc2,unknown
b5E9,pTF1.71c-.oc0.A,71c-oc0,unknown
b5F1,pTF1.71c-.oc0.B,71c-oc0,unknown
b5F2,pTF1.61c-.oc0.35L01,oc0.35L01,yes
b5F3,pTF1.61c-.oc0.35L02,oc0.35L02,yes
b5F4,pTF1.61c-.oc0.35L03,oc0.35L03,yes
b5F5,pTF1.61c-.oc0.35L04,oc0.35L04,yes
b5F6,pTF1.61c-.oc0.35L05,oc0.35L05,yes
b5F7,pTF1.61c-.oc0.35L06,oc0.35L06,yes
b5F8,pTF1.61c-.oc0.35L07,oc0.35L07,yes
b5F9,pTF1.61c-.oc0.35L08,oc0.35L08,yes
b5G1,pTF1.61c-.oc0.35L09,oc0.35L09,yes
b5G2,pTF1.61c-.oc0.35L10,oc0.35L10,no
b5G3,pTF1.61c-.oc0.35L11,oc0.35L11,yes
b5G4,pTF1.61c-.oc0.35L12,oc0.35L12,yes
b5G5,pTF1.61c-.oc0.35L13,oc0.35L13,yes
b5G6,pTF1.61c-.oc0.35L14,oc0.35L14,yes
b5G7,pTF1.61c-.oc0.35L15,oc0.35L15,yes
b5G8,pTF1.61c-.oc0.35L16,oc0.35L16,yes
b5G9,pTF1.61c-.oc0.35L17,oc0.35L17,yes
b5H1,pTF1.61c-.oc0.35L18,oc0.35L18,yes
b5H2,pTF1.61c-.oc0.35L19,oc0.35L19,yes
b5H3,pTF1.61c-.oc0.35L20,oc0.35L20,yes
b5H4,pTF1.61c-.oc0.35L21,oc0.35L21,unknown
b5H5,pTF1.61c-.oc0.35L22,oc0.35L22,yes
b5H6,pTF1.61c-.oc0.35L23,oc0.35L23,yes
b5H7,pTF1.61c-.oc0.35L24,oc0.35L24,yes
b5H8,pWI.crpmini.Lp1,crpmini.Lp1,no
b5H9,pWI.crpmini.Lp2,crpmini.Lp2,no
b5I1,pWI.MGmini.Lp1,MGmini.Lp1,no
b5I2,pWI.MGmini.Lp2,MGmini.Lp2,no
b5I3,pWI.crpmini.L01,crpmini.L01,unknown
b5I4,pWI.crpmini.L02,crpmini.L02,unknown
b5I5,pWI.crpmini.L03,crpmini.L03,unknown
b5I6,pWI.crpmini.L04,crpmini.L04,unknown
b5I7,pWI.crpmini.L05,crpmini.L05,unknown
b5I8,pWI.crpmini.L06,crpmini.L06,unknown
b5I9,pWI.crpmini.L07,crpmini.L07,unknown
DJa01,pJK48.c61.r18.L10.01,DJ.c61.L10.01,yes
DJa02,pJK48.c61.r18.L10.02,DJ.c61.L10.02,yes
DJa03,pJK48.c61.r18.L10.03,DJ.c61.L10.03,yes
DJa04,pJK48.c61.r18.L10.04,DJ.c61.L10.04,no
DJa05,pJK48.c61.r18.L10.05,DJ.c61.L10.05,yes
DJa06,pJK48.c61.r18.L10.06,DJ.c61.L10.06,yes
DJa07,pJK48.c61.r18.L10.07,DJ.c61.L10.07,yes
DJa08,pJK48.c61.r18.L10.08,DJ.c61.L10.08,yes
DJa09,pJK48.c61.r18.L10.09,DJ.c61.L10.09,no
DJa10,pJK48.c61.r18.L10.10,DJ.c61.L10.10,yes
DJa11,pJK48.c61.r18.L10.11,DJ.c61.L10.11,yes
DJa12,pJK48.c61.r18.L10.12,DJ.c61.L10.12,yes
