run	log_F	b5H1_log_P	b5H1_weight	b5F2_log_P	b5F2_weight	b5G4_log_P	b5G4_weight	b5H3_log_P	b5H3_weight	b5H7_log_P	b5H7_weight	b5H2_log_P	b5H2_weight	b5H6_log_P	b5H6_weight	b5G9_log_P	b5G9_weight
samp_44	-18.589377097969713	-2.5057876006439317	1.0	-1.0917586431293536	1.0		0.0		0.0		0.0	-2.693385887187619	2.0	-1.0795159913143473	2.0	-4.997759137771001	2.0
samp_45	-18.33881682720733	-2.5057931617391005	1.0	-1.0917652836593148	2.0		0.0		0.0	-2.116103561820824	1.0		0.0	-1.0795260763742296	2.0	-4.997761330415439	2.0
samp_46	-18.568089261864024	-2.505794867770947	3.0	-1.091758914148441	1.0		0.0		0.0	-2.116102369111917	1.0	-2.693379293073009	1.0	-1.0795194912576644	1.0	-4.99775318049387	1.0
samp_47	-1.203809217508756	-2.3726104795958607	1.0	-0.9518024914758181	1.0	-4.404474930379692	3.0	-5.094789802756541	1.0	-1.9801103792689503	1.0		0.0		0.0	-4.866947188498015	1.0
samp_48	-1.4766736511461633		0.0	-0.983174766387618	2.0		0.0	-5.123615676256741	1.0	-2.0099637818745033	1.0	-2.589352698276966	2.0	-0.9676226963323856	2.0		0.0
samp_49	-1.3271954882978874		0.0	-0.9669166453387835	1.0	-4.418035864315252	1.0	-5.1085892967543165	1.0	-1.9944440613020968	1.0	-2.574254823493353	1.0	-0.9508890746136514	1.0	-4.880447757136874	2.0
samp_50	-1.279400492160001	-2.381330025933595	2.0	-0.9612604414905048	2.0	-4.412938004802077	1.0	-5.1034001797217385	1.0	-1.989061346217236	1.0		0.0	-0.9450476723161368	1.0		0.0
samp_51	-1.3851845219716006	-2.392669359817701	1.0	-0.9734747847470147	1.0		0.0	-5.114635391506643	1.0	-2.0006925368893813	2.0	-2.5803338500067716	1.0		0.0	-4.886353470152384	2.0
samp_52	-0.2739026306030231	-2.21389054099442	2.0	-0.7732998927400062	1.0	-4.25321718799903	1.0	-4.941532134014411	2.0	-1.8158458534885287	1.0	-2.4026000282681212	1.0		0.0		0.0
samp_53	0.35611953303962396	-2.0394633704213	1.0	-0.5621545324899818	1.0		0.0	-4.780620110320629	3.0		0.0	-2.230246756681074	3.0		0.0		0.0
samp_54	-19.1156902897647	-2.505794779799895	3.0	-1.091748309752877	2.0		0.0		0.0	-2.116099560176081	1.0	-2.6933817646549674	1.0		0.0	-4.997759871878055	1.0
samp_55	-1.0763708727597179	-2.3566838284581837	3.0	-0.9344814710296925	3.0		0.0	-5.079108073704167	1.0		0.0	-2.5444690409951845	1.0		0.0		0.0
samp_56	-18.975554641551444	-2.505829420197037	2.0	-1.0917584499928297	1.0		0.0		0.0	-2.1160990827793698	1.0	-2.6933588531370094	1.0	-1.0795189360612094	2.0	-4.9977393038597215	1.0
samp_57	-1.3376730199311786	-2.3876965201174905	2.0	-0.9681281654947647	2.0	-4.419128983766269	1.0	-5.109703582897729	1.0	-1.9955951765020425	2.0		0.0		0.0		0.0
samp_58	-1.273517128511814	-2.3806671425269403	1.0	-0.9605500498581839	1.0		0.0	-5.102748534380224	1.0		0.0	-2.5683701277036275	1.0	-0.9443075104029275	2.0	-4.874725132172885	2.0
samp_59	-0.2680024355897619	-2.21253518277337	1.0		0.0	-4.251944804193375	1.0	-4.9402478491353365	2.0		0.0		0.0	-0.7496500182811564	2.0	-4.715561213806235	2.0
samp_60	-1.3192604972854982	-2.3857184242837124	1.0	-0.9659954477590835	1.0	-4.417205012759286	2.0	-5.107744106741271	1.0	-1.9935634614791276	1.0	-2.5734024211331445	1.0	-0.9499258501786917	1.0		0.0
samp_61	-18.502174555239183		0.0	-1.0917827535037103	4.0	-4.535612663908074	1.0		0.0		0.0	-2.6933700148874617	1.0	-1.0795234324451006	1.0	-4.997766262784784	1.0
