run	log_tbg	log_alphap	log_betap	b13H4_log_P	b13H4_weight	b13H5_log_P	b13H5_weight	b13H6_log_P	b13H6_weight	b13H7_log_P	b13H7_weight	b13H8_log_P	b13H8_weight	b13H9_log_P	b13H9_weight	b13I1_log_P	b13I1_weight	b13I3_log_P	b13I3_weight	b13I4_log_P	b13I4_weight	b13I5_log_P	b13I5_weight	b13I7_log_P	b13I7_weight	b13I8_log_P	b13I8_weight	b13I9_log_P	b13I9_weight	b14A1_log_P	b14A1_weight	b14A2_log_P	b14A2_weight	b14A4_log_P	b14A4_weight	b14A5_log_P	b14A5_weight	b14A6_log_P	b14A6_weight	b14A7_log_P	b14A7_weight	b3G7_log_P	b3G7_weight
samp_16	-6.395229336236266	2.9766044711172164	-0.16056734792267444	-8.926659539435196	2.0	-6.904156591250701	1.0	-7.486099576077727	1.0	-10.032196638251538	1.0	-7.3544147907606865	1.0		0.0	-10.310636706145326	2.0	-5.934069015418803	1.0	-2.9470767078604623	1.0	-5.257377152467362	3.0		0.0		0.0	-12.617005617654074	1.0		0.0	-4.645781955905521	2.0	-5.209447700076621	1.0	-4.364965952030331	3.0		0.0		0.0		0.0
samp_17	-6.73296455773474	3.3883784383546467	-0.4666753807257537		0.0	-6.941834156520942	2.0	-7.506451820273135	1.0	-10.03589599078758	2.0	-7.388665218378337	1.0	-7.825007740878877	3.0	-10.25057021905116	1.0		0.0	-2.8856123224559553	2.0	-5.2847956199445445	2.0	-4.328097539491048	1.0		0.0	-12.219559993858944	2.0		0.0		0.0	-5.237262321626682	1.0		0.0	-7.38422607003938	1.0		0.0	-4.608956075574045	1.0
samp_18	-5.505042507165895	3.1861315878883065	-0.22344436950265564	-9.364545034305092	2.0	-7.055527542728991	1.0	-7.763857281093404	1.0		0.0		0.0	-8.027159685484264	2.0		0.0		0.0	-2.9577438106075427	2.0		0.0	-4.382293830950099	1.0	-12.74646130512233	1.0		0.0	0.6568128713167481	2.0	-4.712845626495716	3.0	-5.291100930588995	5.0		0.0		0.0		0.0		0.0
samp_19	-5.9749024700295115	3.462292239710052	-0.470113875766243	-9.221560910190462	1.0	-7.023975063866212	1.0	-7.663926490448864	1.0	-10.279256722753807	1.0	-7.493447975620484	1.0	-7.962850511972964	1.0		0.0	-6.02379052748218	1.0	-2.8950097030425828	1.0	-5.3265384212699685	2.0		0.0	-11.650294646873217	2.0	-25.40668495533252	1.0		0.0	-4.690249744051582	1.0	-5.27799292129778	1.0	-4.401729800481166	2.0	-7.4908327928842615	1.0	-9.266005898549098	1.0	-4.64153615260751	1.0
samp_20	-6.342588801248176	3.125575438757647	-0.2069039231942926		0.0	-6.961773434001578	4.0	-7.554926224921272	1.0	-10.126630648276922	1.0	-7.416373992294046	1.0	-7.865624092002892	3.0	-10.438343267701121	1.0	-5.984873423584795	1.0	-2.9525627729359067	1.0	-5.3031976697542245	1.0	-4.359249360480806	1.0	-11.189728803027446	1.0	-12.833649850443393	2.0	0.6555847949841928	1.0	-4.685147347653658	1.0		0.0		0.0		0.0		0.0		0.0
samp_21	-5.477766194134173	3.4110966739991095	-0.33533165859865915	-9.477386635275707	1.0		0.0	-7.85910557803283	1.0		0.0	-7.617897707192308	1.0	-8.114279614816503	1.0	-11.126262868874122	1.0		0.0	-2.941361756397982	2.0	-5.387778881458145	1.0		0.0	-13.02227863972526	4.0		0.0	0.6684600597853462	1.0		0.0	-5.3377282331518225	2.0	-4.455587522664395	2.0	-7.617885978219342	2.0	-9.485378204088514	1.0		0.0
samp_22	-6.926327565006642	2.390907299253099	0.4421805316465383	-8.796021489225383	1.0		0.0	-7.4471077832538874	1.0	-9.921129176327728	2.0	-7.336046704979995	3.0	-7.763063936348888	1.0		0.0	-5.944732326168393	3.0		0.0		0.0	-4.374790494400073	2.0		0.0	-11.95198836003391	1.0		0.0	-4.688920019770184	2.0	-5.23415054342775	2.0		0.0	-7.331508562280645	2.0		0.0		0.0
samp_23	-6.0211479722713035	3.2005224132781884	-0.15515222745549184		0.0		0.0		0.0	-10.310203246638675	1.0	-7.5232556832138995	1.0	-7.992642771974257	1.0		0.0	-6.059215004164822	2.0		0.0		0.0	-4.416194360773221	1.0	-11.653369868281102	2.0	-15.39176670890262	1.0	0.644930449518957	1.0	-4.745662192942316	1.0	-5.3210615841104385	1.0	-4.459216946030749	3.0	-7.520674606473045	2.0	-9.298380823645495	2.0	-4.6929998894275595	1.0
samp_24	-5.960130942200958	3.2603577799988193	-0.4088898798852462	-9.102332625989883	1.0		0.0	-7.574012853488184	2.0		0.0	-7.410916887392516	1.0		0.0		0.0	-5.956410543862237	3.0	-2.891513329416322	2.0	-5.267319467615406	2.0	-4.313880995132124	1.0	-11.511641934978437	1.0	-26.18909945772483	1.0		0.0	-4.641931132226359	3.0	-5.218981640047416	1.0		0.0	-7.408119569542429	1.0	-9.15234793355351	1.0		0.0
samp_25	-6.529963782758909	2.859824518343261	-0.097426565245903	-8.844823971044347	1.0		0.0	-7.439378493678941	1.0	-9.958235416839093	2.0	-7.315983400777154	1.0	-7.752729978022729	2.0	-10.191695838577163	1.0		0.0		0.0		0.0		0.0	-10.838593989928409	1.0	-12.321214007308487	4.0	0.6358079662285023	2.0	-4.626793443345615	2.0		0.0	-4.347709749757797	1.0	-7.311840759118018	1.0	-8.927157611445644	1.0		0.0
