run	log_tbg	log_alphap	log_betap	b2F3_log_P	b2F3_weight	b2F5_log_P	b2F5_weight	b2F6_log_P	b2F6_weight	b2F7_log_P	b2F7_weight	b2F8_log_P	b2F8_weight	b2F9_log_P	b2F9_weight	b2G2_log_P	b2G2_weight	b2G3_log_P	b2G3_weight	b2G4_log_P	b2G4_weight	b2G5_log_P	b2G5_weight	b2G6_log_P	b2G6_weight	b2G7_log_P	b2G7_weight	b2G8_log_P	b2G8_weight	b2H1_log_P	b2H1_weight	b2H3_log_P	b2H3_weight	b2H4_log_P	b2H4_weight	b2H5_log_P	b2H5_weight	b2H7_log_P	b2H7_weight	b2H8_log_P	b2H8_weight	b1I8_log_P	b1I8_weight	b2A1_log_P	b2A1_weight	b2A2_log_P	b2A2_weight	b2A4_log_P	b2A4_weight	b2A5_log_P	b2A5_weight	b2A6_log_P	b2A6_weight	b2A7_log_P	b2A7_weight	b2A8_log_P	b2A8_weight	b2A9_log_P	b2A9_weight	b2B1_log_P	b2B1_weight	b2B2_log_P	b2B2_weight	b2B4_log_P	b2B4_weight	b2B5_log_P	b2B5_weight	b2B6_log_P	b2B6_weight	b2B7_log_P	b2B7_weight	b2B9_log_P	b2B9_weight
samp_09	-5.424859250066409	4.456546074411907	0.0926822693017701		0.0		0.0		0.0	-5.0445983370508785	1.0	-4.978100474390951	2.0		0.0	-10.512394190491912	1.0	-5.043924375959843	3.0	-0.5834911451316583	2.0		0.0		0.0	-4.457361111659202	1.0	-4.759445939921613	1.0		0.0		0.0	-6.873770685378243	3.0		0.0		0.0		0.0		0.0	-7.3707603116570395	2.0		0.0	-5.360987277058887	1.0	-4.6781501522926225	1.0	-7.932276199372726	1.0	-10.310072115537139	1.0	-10.457251202489559	1.0	-7.290146476125873	5.0	-4.510211548865864	1.0	-4.309666552314706	1.0	-0.34415530301458164	1.0	-5.3089135899471955	1.0	-5.001878787316797	3.0		0.0	-10.086503939530385	2.0
samp_10	-5.80313023185147	4.783109447704841	-0.10202692159762251	-3.9328736095231283	2.0		0.0	-12.23007726666984	1.0		0.0		0.0	-11.668808049042157	2.0		0.0	-5.035105252331048	1.0		0.0	-6.67685264734184	1.0	-5.099957805223959	3.0		0.0		0.0	-6.642943223647854	3.0	-1.4674999520107177	3.0	-6.902801140905896	1.0	-7.771213676435863	1.0	-6.88304251925273	1.0	-4.697500024793948	2.0	-4.8773393779286565	2.0	-7.3678662114901154	1.0		0.0	-5.347668344415011	1.0	-4.658552465183278	1.0	-7.950201841508226	2.0	-10.361369352373766	1.0		0.0	-7.307463224499081	1.0	-4.491745085571727	1.0		0.0	-0.3382885023110928	1.0	-5.314379579856182	1.0		0.0	-4.69268299904081	2.0		0.0
samp_11	-5.5043317024210205	4.644088164451979	-0.03462419118679736		0.0	-2.091027942366238	1.0	-12.313707399572557	2.0	-5.035468254275298	1.0	-4.96957613838288	2.0		0.0		0.0		0.0		0.0	-6.672770502052081	1.0	-5.099889281478491	1.0		0.0	-4.748747850954064	1.0	-6.635277756764224	1.0	-1.4730529470531306	2.0	-6.894353906336366	1.0		0.0		0.0	-4.696320243759485	1.0	-4.878504028167809	1.0	-7.387633971738311	2.0	-6.429572596662077	2.0	-5.352741208296883	1.0		0.0	-7.958635895596453	1.0	-10.353471285569478	1.0	-10.500671201833443	1.0	-7.310983956128388	3.0	-4.496472670801342	3.0		0.0	-0.3397967690054554	2.0		0.0	-4.991783694660844	2.0	-4.694819808920967	1.0	-10.12903583543563	1.0
samp_12	-5.819929561538705	4.480905805367804	0.05064505694552096		0.0	-2.102090510671144	1.0	-12.072569906103766	1.0	-5.020981103223549	1.0	-4.95567176302893	1.0	-11.517850550387594	2.0	-10.409741306673432	1.0	-5.0210760904621425	1.0	-0.5810668557040778	1.0	-6.610361861799783	1.0		0.0	-4.437255638767154	1.0	-4.738979284437874	1.0		0.0		0.0	-6.829481029520524	2.0	-7.676567062561775	2.0		0.0	-4.683744899111896	1.0	-4.865280012991557	3.0	-7.280830419660869	3.0	-6.376867984675829	1.0	-5.332021053833906	1.0		0.0		0.0		0.0		0.0	-7.223756123743066	3.0	-4.4914270270000625	1.0	-4.291530211109814	1.0		0.0	-5.285796236237252	2.0	-4.978508296468633	2.0	-4.684995844129621	1.0		0.0
samp_13	-5.598656613131778	4.794948974915953	-0.11724423994335445	-3.931398403207464	2.0	-2.0818123414231553	2.0		0.0	-5.033663817332094	2.0	-4.968378598074796	2.0	-11.723016543534298	1.0		0.0		0.0	-0.5758578761147088	1.0	-6.692894324186875	2.0	-5.101619131893528	1.0		0.0	-4.745961073408538	3.0	-6.656706083757689	1.0		0.0		0.0	-7.799869477389195	1.0		0.0	-4.697789209464667	2.0		0.0		0.0		0.0	-5.3512916789291625	3.0		0.0		0.0	-10.402213175713774	1.0	-10.549630638861391	2.0	-7.334987359769777	1.0	-4.491474307082831	2.0	-4.283146576505	1.0		0.0	-5.316894018331837	1.0	-4.989193289305921	1.0	-4.692907842206008	2.0	-10.176431547005	1.0
samp_14	-5.606257018344363	4.748720614096684	-0.06613274529188917		0.0		0.0		0.0	-5.045401769301815	2.0	-4.9796717916736215	2.0	-11.72550940974432	1.0	-10.607913041660447	1.0	-5.047662804031029	3.0	-0.5774161315523121	1.0	-6.698776925391949	1.0	-5.11226075810238	1.0	-4.439219710591686	1.0	-4.7570247967188175	1.0	-6.6623136801966565	2.0	-1.470005760954296	2.0		0.0		0.0	-6.9052747032938875	1.0		0.0	-4.888793128304758	3.0		0.0		0.0	-5.363790015150011	1.0	-4.67033068830485	1.0	-7.991234923999722	3.0	-10.405738738680217	3.0		0.0		0.0	-4.502311000620361	1.0		0.0	-0.3394154625522285	1.0	-5.326221493885548	2.0	-5.001076215397484	1.0		0.0		0.0
samp_15	-5.588197493460325	4.65525010921373	-0.039478672992679785	-3.9469222232994756	3.0	-2.0901748967012344	1.0	-12.270099266039725	1.0		0.0		0.0	-11.665997130041998	1.0	-10.544958338804534	1.0	-5.035134344599737	2.0	-0.5779606975385124	1.0	-6.667477432800297	3.0	-5.098437745318575	1.0	-4.435339281476741	1.0	-4.74742167352329	2.0		0.0		0.0	-6.889723173284429	3.0	-7.761721853912626	1.0	-6.871818980361389	1.0	-4.695517808914271	1.0	-4.8772383716233545	1.0	-7.373262696841122	2.0		0.0		0.0	-4.662616631364187	1.0		0.0	-10.342785599788721	2.0		0.0		0.0	-4.495234591265536	1.0	-4.290098237479118	2.0	-0.33959474249303917	1.0		0.0	-4.9900383739912595	1.0		0.0	-10.116405250421465	1.0
samp_16	-5.606296768880202	4.650368118907293	-0.0665109850685232	-3.9375445625179917	1.0	-2.0877296639483367	1.0	-12.228210023517224	1.0		0.0	-4.953883769010166	1.0	-11.629239411091069	1.0	-10.509338166286682	2.0		0.0		0.0	-6.647133785483203	3.0		0.0	-4.423524592105191	4.0	-4.73431932171545	3.0		0.0	-1.4708672974262602	3.0		0.0		0.0	-6.851015468773017	1.0		0.0		0.0	-7.347094716697359	1.0		0.0		0.0		0.0	-7.919891901936408	2.0		0.0	-10.454934799506253	1.0	-7.2782410643726045	1.0	-4.4833450824406595	1.0		0.0	-0.33850357673647646	3.0	-5.293516982098661	2.0	-4.9756732545511335	2.0		0.0	-10.079629626461417	1.0
samp_17	-5.679834535456292	4.576017520680645	0.041662055261429014		0.0	-2.0991986423154025	1.0	-12.223622847434088	2.0	-5.047682729070828	1.0		0.0	-11.640430682869635	2.0	-10.528051663248487	1.0		0.0		0.0	-6.66564420825529	3.0	-5.11063476141187	2.0	-4.453125118174841	1.0		0.0	-6.629854345104731	2.0		0.0		0.0	-7.751584259264657	1.0	-6.868431041422971	3.0	-4.707416277204737	2.0	-4.890415948569841	1.0	-7.36006599248698	1.0	-6.426758054913335	2.0	-5.363373836063766	1.0	-4.67820419726261	2.0		0.0	-10.325528512614675	1.0	-10.473801170699703	1.0		0.0		0.0	-4.306400135226531	2.0	-0.34219029997326644	2.0		0.0		0.0		0.0	-10.096515384339492	1.0
samp_18	-5.632236994803112	4.884609459033155	-0.20661099078398407	-3.9106111081021604	1.0	-2.0744114352558647	2.0	-12.308121751209338	1.0		0.0	-4.9497121563237405	2.0	-11.713059333940166	2.0	-10.597662055557677	3.0		0.0		0.0	-6.682104895276765	1.0	-5.084113060540245	1.0		0.0		0.0	-6.646970092510909	2.0	-1.4620397216967838	1.0		0.0	-7.791925809229308	1.0		0.0		0.0	-4.860768181927142	1.0	-7.393995706859699	1.0	-6.439169740612875	2.0		0.0	-4.639457998710887	1.0	-7.978331616040731	1.0	-10.395288221276465	2.0	-10.542995302724073	2.0	-7.325038123883749	3.0	-4.474079557982857	1.0		0.0		0.0		0.0	-4.969335580674568	3.0	-4.6759811824842465	1.0		0.0
