run	log_tsat	log_tbg	log_F	b5A8	b5A8_weight	b5B2	b5B2_weight	b5B3	b5B3_weight	b5B5	b5B5_weight	b5B7	b5B7_weight	b5B8	b5B8_weight	b5B9	b5B9_weight	b5C1	b5C1_weight	b5C2	b5C2_weight	b5C3	b5C3_weight	b5C4	b5C4_weight	b5C5	b5C5_weight	b5C7	b5C7_weight	b5C8	b5C8_weight	b5C9	b5C9_weight	b5D1	b5D1_weight	b5D2	b5D2_weight	b5D3	b5D3_weight	b5D4	b5D4_weight	b5D5	b5D5_weight	b5D6	b5D6_weight	b5D7	b5D7_weight	b5E4	b5E4_weight	b5F2	b5F2_weight	b5F3	b5F3_weight	b5F5	b5F5_weight	b5F6	b5F6_weight	b5F7	b5F7_weight	b5F8	b5F8_weight	b5G1	b5G1_weight	b5G3	b5G3_weight	b5G4	b5G4_weight	b5G6	b5G6_weight	b5G9	b5G9_weight	b5H1	b5H1_weight	b5H2	b5H2_weight	b5H3	b5H3_weight	b5H4	b5H4_weight	b5H5	b5H5_weight	b5H6	b5H6_weight	b5H7	b5H7_weight
samp_51	3.9698039443520945	-6.124620230488414	3.1614870841643783	-6.49032538298711	1.0	-7.107421603040961	2.0		0.0	-8.358569949816722	1.0	-11.020007304840234	2.0	-5.140149091724849	1.0	-9.61593412676668	1.0		0.0	-10.063290364110086	1.0		0.0	-10.789996340630758	1.0	-18.256295861717614	1.0	-12.103382534868924	3.0	-10.008583518326335	1.0	-9.455698247018669	1.0	-8.993555394620616	1.0	-12.25439386937556	1.0	-11.304743176272215	2.0		0.0		0.0		0.0	-11.386302460776712	2.0	-2.4998921160461838	1.0	-2.550935817099419	3.0	-2.8671999455789074	1.0	-7.696548692181963	1.0	-7.039525833271768	1.0	-3.1238782024110248	1.0	-6.955871462949689	1.0		0.0	-8.248445810828274	1.0	-5.794886674520864	2.0	-7.6587113079393045	1.0		0.0		0.0	-3.956952219135915	1.0	-5.333926847449926	2.0	-6.262498660776094	1.0	-7.667210037561083	2.0		0.0		0.0
samp_52	13.6247955388572	-5.9639928933614055	3.0880597410593427	-16.20495238789766	2.0	-16.820733441332944	2.0	-16.40543864001979	1.0	-18.11390693572233	1.0		0.0	-14.84294138047239	2.0		0.0		0.0		0.0		0.0	-20.92073795488313	1.0		0.0	-35.519055297041476	1.0	-19.86406464933506	1.0		0.0		0.0		0.0	-21.96987975305089	1.0	-18.986096761156524	1.0	-18.1263920764659	2.0	-45.44914532943302	3.0		0.0	-12.233619323224717	1.0	-12.283506158775426	1.0	-12.58436035675745	2.0		0.0	-16.743174964141584	1.0	-12.832244554638233	2.0	-16.66059057515865	2.0		0.0	-17.95473866914908	1.0	-15.498614040839675	2.0	-17.380323035782794	4.0		0.0	-13.435582309545008	3.0	-13.66092785711679	1.0	-15.036441859978279	1.0		0.0	-17.370844595983986	1.0	-12.411908325604964	1.0		0.0
samp_53	2.9667797580721023	-6.188780920707745	3.251614417252419		0.0		0.0		0.0		0.0	-9.86039610811958	1.0	-4.087711206245891	4.0		0.0		0.0	-8.993940186557026	1.0		0.0		0.0	-17.618800967194865	1.0	-10.702645531626079	1.0	-8.941191916487401	1.0	-8.412359565433562	2.0	-7.9577486614406565	1.0	-10.805462819696745	1.0		0.0	-8.179854827897115	2.0		0.0	-19.869395391308846	2.0	-10.166327191349966	1.0	-1.3773337518048894	5.0	-1.4299188320303464	1.0	-1.7735505983854443	2.0	-6.664290102085633	1.0	-6.002457977244168	1.0		0.0	-5.918042062787656	1.0	-5.3055071717709685	2.0	-7.21724691936761	2.0	-4.747960570395492	1.0		0.0		0.0	-2.6566427641862327	1.0	-2.890111914609062	1.0	-4.283506797423182	3.0	-5.219487644789612	1.0	-6.634709147670235	1.0		0.0		0.0
samp_54	3.870078243014302	-5.9890473127421835	3.044862444515118	-6.451931300641339	3.0		0.0	-6.650483033150595	1.0	-8.330248290413513	2.0	-11.415126365766243	1.0		0.0	-9.629953985489397	1.0		0.0		0.0	-4.58855126058839	1.0	-11.068176089095864	2.0	-21.108646395655473	1.0		0.0	-10.07483802549202	2.0	-9.462162244828583	1.0	-8.967420911013079	2.0	-26.443231026073736	3.0	-11.931500053969625	1.0		0.0	-8.3508776416495	1.0		0.0		0.0	-2.456455807986713	1.0	-2.507465192724984	2.0		0.0	-7.647168072752965	1.0	-6.992665505073095	1.0		0.0	-6.910004638797592	2.0	-6.299331400598919	1.0	-8.200030895488302	1.0	-5.753498261087883	1.0	-7.6171741603719125	2.0		0.0	-3.6860673586748027	2.0	-3.9139975738097244	1.0	-5.292660400764217	2.0		0.0		0.0		0.0	-3.476434892010168	2.0
samp_55	3.230240338883936	-5.950784122629354	3.164560219981958		0.0		0.0		0.0		0.0	-10.982233688812173	2.0		0.0		0.0	-9.36435748443823	2.0	-9.567741040396482	1.0	-3.8936919287170633	2.0	-10.584348806554862	2.0	-17.96104453085142	1.0		0.0	-9.486867178438052	1.0	-8.868150673726388	2.0		0.0	-18.61007221207038	1.0	-11.768896529424985	2.0	-8.608352612953567	3.0	-7.748125099021015	1.0	-19.87202554385502	1.0	-11.863154388626336	1.0	-1.7162677533313462	1.0	-1.7683375321338728	2.0	-2.100755700326141	1.0	-6.9964562671660575	1.0	-6.333561790545812	1.0		0.0		0.0		0.0	-7.5517069273959585	1.0	-5.076102071955906	3.0	-6.987364118077154	2.0		0.0	-2.9775621365806964	1.0	-3.2095471542458185	3.0	-4.608039735036163	1.0	-5.546212855599729	1.0	-6.966140841725996	1.0		0.0		0.0
samp_56	4.180422770392609	-6.175014113778545	3.1800999338187204		0.0	-7.300436768971025	1.0		0.0		0.0		0.0		0.0		0.0	-10.07697007766518	3.0		0.0	-4.831586831422519	2.0		0.0	-18.419320167816867	2.0	-11.991293271052445	2.0	-10.16795921232168	1.0	-9.628967414984107	2.0	-9.180087183986048	3.0		0.0	-11.347280478027027	1.0	-9.394792670998036	1.0	-8.567567999841616	1.0	-20.066136787427283	2.0	-11.424728814015955	1.0	-2.7087075721318277	1.0	-2.7595401187694315	2.0	-3.0730948234689346	1.0		0.0	-7.235854925101563	1.0	-3.3282314990625834	2.0		0.0	-6.546566932360771	1.0		0.0	-5.99277670505247	1.0	-7.848437037239608	1.0	-6.455418287516299	1.0	-3.9324650096079954	1.0		0.0	-5.533013511304144	1.0		0.0	-7.863251360566645	2.0	-2.893114413580046	4.0		0.0
samp_57	17.09890635859575	-6.098306343921953	3.074319181039669	-19.647785517314453	1.0	-20.25877068839128	1.0		0.0	-21.4847385546943	2.0	-24.226638685610443	1.0	-18.310422824425057	3.0	-22.771235788710335	3.0	-23.0709553324198	1.0	-23.218980585564452	2.0	-17.804811890863313	1.0	-23.976202215842687	1.0		0.0	-25.47301922252189	1.0		0.0	-22.597575313731	1.0		0.0		0.0	-24.5218391332294	1.0		0.0		0.0	-32.832472125852064	2.0	-24.630711310527712	2.0		0.0		0.0	-16.063714616597743	1.0	-20.84617956992993	1.0	-20.194222901282963	1.0	-16.31154875090924	2.0		0.0	-19.50935642463074	1.0	-21.39701518078907	1.0		0.0	-20.802069189755898	4.0		0.0	-16.91274155428434	2.0	-17.137337306347913	1.0		0.0		0.0	-20.81708813816867	1.0	-15.891365878176133	2.0	-16.706158211693907	1.0
samp_58	10.874740785810538	-6.090054864832507	3.328196324278566	-13.371268493912215	1.0		0.0	-13.577016818711673	1.0	-15.331155386086179	2.0	-18.01998633566541	3.0		0.0	-16.531453460030985	1.0	-16.844880190203707	2.0	-17.01990057943998	2.0		0.0	-17.782802281796652	2.0		0.0	-19.29132948829967	1.0	-16.950681823233428	2.0	-16.403899720656987	1.0	-15.909107398253878	2.0	-19.528799701168484	2.0		0.0		0.0		0.0		0.0	-18.416266661571246	1.0		0.0		0.0	-9.71979468409895	1.0	-14.586245418713588	1.0	-13.917775837581571	1.0	-9.967891608892135	1.0		0.0	-13.20046154239805	2.0	-15.140020841631497	3.0	-12.649711188882312	2.0	-14.575533051561322	1.0	-13.124697599097313	1.0		0.0	-10.798252902306348	2.0	-12.181871848346765	1.0	-13.12275628065815	1.0	-14.55590546875642	1.0		0.0		0.0
samp_59	2.5459327862153525	-5.952832455679501	3.313063472958003	-5.080172939703532	1.0		0.0	-5.2898195481358625	1.0	-7.090394239643701	1.0	-10.27129755982623	2.0	-3.6606240387028146	1.0	-8.31019932151491	1.0	-8.669292207954923	2.0	-8.885920924259084	1.0		0.0	-9.89554656054831	2.0		0.0	-21.439740046916068	1.0	-8.797043584952174	1.0	-8.192444793115953	4.0	-7.648735304059814	1.0	-21.622694725926845	1.0		0.0	-7.933431563068321	1.0	-7.079231288456341	1.0		0.0	-17.825144345928244	1.0	-0.8674830530922607	1.0		0.0		0.0		0.0	-5.618297455176549	1.0		0.0		0.0	-4.887376262772786	2.0	-6.84617073503485	2.0	-4.338449241490527	1.0		0.0	-4.822117548108122	3.0		0.0	-2.43051217453303	2.0	-3.8608804145237103	1.0	-4.815790051633683	1.0		0.0	-1.0749320409671066	3.0	-1.970336349403667	1.0
samp_60	4.5720692450595735	-6.030628164667061	3.3564344606571144	-7.080502567020831	1.0	-7.713185847992719	2.0	-7.288960351252994	1.0		0.0	-11.919300975188765	1.0	-5.676968548603841	1.0	-10.269935950461296	1.0	-10.602584171641816	2.0	-10.796594188610934	2.0		0.0	-11.643913098837675	1.0		0.0		0.0		0.0	-10.152517094903253	2.0	-9.634001859201852	1.0	-14.945495780615017	2.0	-12.408256926290541	3.0		0.0	-9.068156971402473	2.0	-20.836446344462853	3.0	-12.422166598274371	2.0	-3.025129543075547	1.0		0.0	-3.387140317179618	1.0		0.0	-7.622254212734275	1.0	-3.641060839129807	2.0		0.0	-6.894664824844195	2.0	-8.848305817123268	1.0	-6.345929084719941	1.0		0.0	-6.8260953058873275	2.0		0.0	-4.4778317826136105	1.0		0.0		0.0	-8.262835101085493	2.0		0.0		0.0
samp_61	2.9402311229598674	-5.986427720027106	3.3365945659973586	-5.46220985559434	1.0		0.0		0.0	-7.467575127984531	2.0	-10.479752063358642	1.0	-4.047758334142751	2.0	-8.674309719236856	3.0	-9.021617652703943	1.0	-9.22839457873294	1.0		0.0	-10.158207188258595	3.0		0.0	-22.099931803464788	1.0	-9.14318278815412	1.0		0.0		0.0		0.0		0.0	-8.303724502889146	3.0	-7.457857011522331	1.0	-19.874078870385006	1.0	-11.128060263135684	1.0	-1.2998636485589714	1.0	-1.352878106098756	3.0		0.0	-6.673754655548112	1.0		0.0	-1.9759891388892306	3.0	-5.918725210723746	1.0	-5.271881865620684	2.0		0.0	-4.722561182157614	1.0		0.0	-5.205274964129737	1.0	-2.592548630616776	1.0		0.0	-4.246866507991677	1.0		0.0	-6.6427773205428515	2.0	-1.5004478774042038	1.0	-2.3758179294544854	1.0
samp_62	15.928498890685978	-6.01854340342317	3.160796378933129	-18.478629231515175	4.0	-19.0980014935433	1.0	-18.68020737169717	1.0	-20.395305391157926	1.0	-23.333533995340876	3.0	-17.112942397474384	1.0		0.0	-21.981650029270806	1.0		0.0	-16.601789322742885	1.0	-23.032152414004578	1.0		0.0		0.0		0.0	-21.50365961446895	2.0		0.0		0.0	-23.788325934103234	1.0	-21.253621424849623	1.0		0.0	-33.794487376119	1.0	-23.88785772324863	1.0	-14.502541518987229	1.0		0.0	-14.85333756408475	1.0	-19.680423502316707	2.0	-19.020272060857998	3.0	-15.101345964443333	2.0	-18.937360122550388	1.0		0.0	-20.233717402428933	2.0		0.0	-19.660123167316765	1.0	-18.238469932641213	2.0	-15.704671174551542	1.0	-15.930080790498776	1.0	-17.306731094851802	2.0		0.0	-19.650435275251372	1.0	-14.680847038304128	1.0		0.0
samp_63	22.345278339663768	-5.97935355971871	3.0162928117956063	-24.937436839542347	2.0	-25.54810038067811	2.0	-25.135042476306136	1.0	-26.806309352864876	1.0	-29.94354280435674	1.0	-23.590242650959233	1.0	-28.116684929277092	2.0	-28.452005547505472	2.0	-28.62966563358966	1.0		0.0	-29.57915441197071	2.0		0.0		0.0		0.0	-27.944073659490133	1.0	-27.449489035907224	1.0	-805.8182476656584	1.0		0.0	-27.68803452353275	3.0	-26.828912567093564	4.0	-41.821300880304236	3.0		0.0		0.0	-21.037644860697352	1.0	-21.33837134550894	1.0		0.0		0.0		0.0	-25.394475590191966	1.0	-24.785931798387175	2.0	-26.68253654372304	2.0		0.0	-26.09807982854651	3.0		0.0	-22.18840740161283	1.0	-22.41331394868374	1.0	-23.7828687037679	1.0		0.0		0.0		0.0		0.0
samp_64	4.923264767015984	-6.099147255227353	3.1414141065402714		0.0	-8.07187045346752	2.0		0.0	-9.325897972692461	1.0	-12.04601023310893	1.0	-6.106324035530904	1.0	-10.588834060612498	3.0		0.0	-11.046496979625413	1.0	-5.597944923331534	1.0	-11.801663608812202	3.0		0.0	-13.282948644966632	2.0	-10.99005587666141	1.0		0.0	-9.96008696228344	1.0	-13.479422776682448	4.0	-12.355012597513158	1.0	-10.18675126715684	1.0		0.0		0.0		0.0	-3.4893635459390175	2.0		0.0	-3.8464452400243827	1.0	-8.659391933488179	1.0	-8.002926868331263	1.0	-4.0977071461373376	1.0	-7.919497561707367	1.0		0.0	-9.211194644536635	1.0		0.0	-8.623360899492033	2.0	-7.22372636779795	1.0		0.0		0.0		0.0	-7.226620179687689	1.0	-8.629933448511242	1.0	-3.6704948322876234	1.0	-4.493159283256886	4.0
samp_65	4.34505956846771	-6.131056485461181	3.1414432753241996	-6.868999324183394	1.0	-7.484153771624209	1.0	-7.066765622208075	1.0	-8.723734921403821	2.0		0.0	-5.524135645217452	1.0	-9.988436949150264	1.0	-10.282814016361264	1.0		0.0	-5.01618783837419	1.0	-11.150170617839553	3.0	-17.573189342506513	1.0	-12.430812423946396	1.0		0.0		0.0	-9.366570503180066	1.0	-12.578804537567292	1.0	-11.651845936826536	1.0		0.0	-8.753038699263668	1.0	-19.82000804351668	2.0		0.0	-2.8982322221340455	1.0	-2.9489057644636794	2.0	-3.260192296851243	3.0	-8.073582093550794	2.0	-7.418142690248926	2.0		0.0		0.0	-6.728726021537962	1.0	-8.625024262316188	2.0	-6.177044975482397	1.0		0.0		0.0		0.0	-4.344682259374578	2.0		0.0	-6.64361928991567	1.0	-8.044298479139938	1.0	-3.0815587866017164	1.0	-3.9094323237626147	2.0
samp_66	30.88871320237139	-6.089127193722459	3.0058131742069882	-33.45658597936921	3.0	-34.06297830072063	3.0		0.0		0.0	-38.04545728114747	3.0	-32.12865604659406	2.0		0.0		0.0	-37.01619616292592	3.0		0.0	-37.78561237787321	1.0	-75.0191346245772	1.0		0.0		0.0		0.0		0.0	-39.584058659271285	2.0		0.0		0.0	-35.30330527379689	4.0	-49.10395934676486	2.0	-38.46830285237916	2.0		0.0	-29.585218024019824	1.0		0.0	-34.64987844922841	1.0	-34.002050269845164	1.0	-30.133544671439275	1.0	-33.91916208793493	2.0		0.0		0.0	-32.77565361679893	1.0	-34.59894568030946	1.0	-33.23258562092535	2.0		0.0		0.0		0.0	-33.23787198389631	1.0	-34.62108389724411	1.0		0.0	-30.527754191396234	3.0
samp_67	3.7114638197225975	-6.19760918440624	3.1389945356441777	-6.218458818834839	1.0		0.0		0.0	-8.038115707507535	1.0		0.0		0.0	-9.3119057901227	1.0	-9.589975151510215	1.0		0.0		0.0	-10.384070237150354	1.0	-17.979064521523593	2.0	-11.410806107992283	1.0		0.0	-9.138293161804427	1.0	-8.70198253541481	2.0		0.0		0.0	-8.905566212310685	2.0	-8.077975686502272	1.0	-19.917960247179636	1.0	-10.893075980278233	2.0	-2.240631673676445	1.0	-2.291924165573578	2.0		0.0	-7.424310902753994	1.0	-6.771341602403525	1.0	-2.8710066631240285	1.0	-6.687456127202649	2.0	-6.089466160457434	1.0	-7.975248242448578	3.0		0.0	-7.3713156864852305	2.0	-5.99446375617658	3.0		0.0	-3.703931569493635	2.0		0.0		0.0	-7.395399630069188	1.0	-2.4281446494421117	1.0	-3.266021718110706	3.0
samp_68	13.29457674910492	-6.168199582497705	3.0368636853200592	-15.83603080468853	2.0	-16.441476569019652	1.0	-16.02898784805803	3.0		0.0	-20.238196276132747	1.0	-14.515654893839743	1.0	-18.92249655804635	1.0		0.0	-19.32945246929513	1.0		0.0	-20.0166432368971	1.0	-250.44848953932367	4.0	-21.158788727766353	1.0		0.0	-18.732573310906826	2.0		0.0	-21.25799796728743	4.0	-20.455875326565067	1.0	-18.49715421455398	1.0	-17.664280760771604	1.0	-64.08644260212036	1.0		0.0		0.0	-11.975924328069084	1.0	-12.276506213120001	2.0	-17.032013350445194	1.0		0.0	-12.524227208306465	1.0		0.0	-15.712313074280315	1.0	-17.581108686800423	2.0	-15.161122688140086	2.0	-16.971624930482925	1.0	-15.616126168660132	1.0	-13.124107434074407	2.0		0.0		0.0		0.0		0.0		0.0	-12.91796081178078	1.0
