run	log_F	b5B8_log_P	b5B8_weight	b5D1_log_P	b5D1_weight	b5F5_log_P	b5F5_weight	b5H1_log_P	b5H1_weight	b5H5_log_P	b5H5_weight	b5H7_log_P	b5H7_weight
samp_35	1.7926570958133932	-3.8425818021950753	1.0	-7.541940914852411	1.0		0.0	-2.60647797681345	1.0	-6.635644315424539	1.0	-2.201745324299172	2.0
samp_36	1.6100064767632276		0.0	-7.553401536884131	2.0		0.0	-2.6869358916437185	1.0		0.0	-2.284956467798659	3.0
samp_37	1.6444732084441298	-3.903891237882634	2.0	-7.550759519236812	1.0		0.0	-2.671969817984906	2.0		0.0	-2.2695091726908085	1.0
samp_38	1.7926570958133932	-3.8425818021950753	1.0	-7.541940914852411	1.0		0.0	-2.60647797681345	1.0	-6.635644315424539	1.0	-2.201745324299172	2.0
samp_39	1.788930704527457	-3.8441390510857216	2.0	-7.5421111684554125	1.0	-6.547059304029184	1.0		0.0	-6.636786016401243	1.0	-2.203475925319637	1.0
samp_40	1.7926570958133932	-3.8425818021950753	1.0	-7.541940914852411	1.0		0.0	-2.60647797681345	1.0	-6.635644315424539	1.0	-2.201745324299172	2.0
samp_41	2.6509522301291017		0.0	-7.563779511148767	2.0	-6.3430045305709655	2.0		0.0	-6.413217449048825	2.0		0.0
samp_42	2.3023026975885976		0.0	-7.54219733635356	1.0	-6.413191647670905	3.0		0.0	-6.492609374011985	1.0	-1.9525929262178634	1.0
samp_43	1.680888551871405	-3.8889364824554615	2.0	-7.548207288644765	2.0		0.0	-2.656047270376315	1.0	-6.670207347413523	1.0		0.0
samp_44	2.2131792434686863	-3.6630999057054954	1.0		0.0	-6.434111658811371	2.0		0.0	-6.5155568686400125	2.0	-1.9979277842217111	1.0
samp_45	1.8682863825400007	-3.8108549987675704	2.0	-7.5390418073768215	1.0	-6.5244806295953754	3.0		0.0		0.0		0.0
samp_46	1.809837240011312		0.0	-7.541184975981838	1.0		0.0	-2.5987640991344003	3.0		0.0	-2.1937499485389553	2.0
samp_47	1.9453633659507164	-3.778244294459165	1.0		0.0	-6.503128136688917	3.0		0.0		0.0	-2.1296745160707706	2.0
samp_48	1.9972793466513339	-3.756135096567101	2.0		0.0	-6.489092269571922	1.0		0.0	-6.575000920716008	2.0	-2.1046651669004155	1.0
samp_49	1.8229296826821788	-3.829916230087214	2.0		0.0	-6.537313958248538	1.0		0.0	-6.6264448354918635	1.0	-2.187637896904053	2.0
samp_50	1.732811370568266	-3.8674856985127186	3.0		0.0		0.0	-2.633148178000271	1.0	-6.654038388572285	1.0	-2.2293745821317645	1.0
samp_51	1.724122692272354	-3.8710850678263258	3.0		0.0	-6.565895735584223	2.0		0.0		0.0	-2.2333569694228426	1.0
