run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B5_log_P	b2B5_weight
samp_40	-1.5448394859961974	-4.904780654933812	1.0	-2.3148504498559546	1.0	-4.748072614572001	3.0	-4.540767977116265	2.0	-0.6245888302127861	1.0	-4.601569766561257	2.0	-4.718365195850157	3.0		0.0	-1.629382700671795	1.0		0.0		0.0		0.0		0.0	-0.3411182179216388	1.0		0.0
samp_41	-1.4307336728970848	-4.944640709226605	1.0	-2.312287987887967	1.0	-4.786895516235964	2.0	-4.577846200762905	1.0	-0.6227116434663467	1.0	-4.640091544523929	1.0	-4.756669821552634	2.0	-5.082175052646298	2.0	-1.6224934314497697	1.0	-4.120076908485755	1.0		0.0		0.0	-4.654903373196539	1.0		0.0	-4.939603201032406	1.0
samp_42	-0.9886078227609034		0.0		0.0	-4.926069874976997	1.0	-4.709237598078916	1.0	-0.6153789968489332	1.0	-4.777811290830024	1.0		0.0	-5.229737793024388	1.0	-1.593963984102799	1.0	-4.224866712061066	1.0	-4.660198214641488	2.0	-7.53893606103107	1.0	-4.795579075017529	2.0		0.0	-5.0888135453230605	3.0
samp_43	-1.184622133836904		0.0	-2.301595953238565	2.0	-4.866724207405366	1.0	-4.653521592542037	2.0		0.0	-4.719153497199319	1.0		0.0		0.0	-1.6066375212637156	1.0		0.0	-4.6061116671925895	1.0		0.0	-4.735551553423954	1.0	-0.3450218522313028	4.0	-5.024803173851158	2.0
samp_44	-1.6286573328079956	-4.874891318058472	3.0		0.0	-4.718906778044167	2.0	-4.512827160150035	1.0		0.0	-4.572610781568976	2.0		0.0	-5.010988730039242	1.0	-1.6340771679264383	1.0	-4.065231570098384	3.0	-4.46861717605128	2.0		0.0		0.0		0.0		0.0
samp_45	-0.7989186459006798		0.0	-2.2763557829613617	1.0	-4.979562466851475	1.0	-4.758965763260945	2.0		0.0	-4.83057966212357	1.0		0.0	-5.287299387561863	1.0		0.0		0.0		0.0	-7.623163325434476	4.0	-4.849753336686946	2.0	-0.34705672542402394	2.0	-5.147106343951465	1.0
samp_46	-0.8986708705026797		0.0	-2.2834315965554475	1.0		0.0	-4.733350476313894	1.0	-0.6139635900261436	1.0	-4.803338931071778	1.0	-4.918856591694211	1.0	-5.257500188923483	1.0		0.0	-4.242954334337927	1.0	-4.683521663109349	1.0	-7.57914603018408	3.0	-4.821761480440505	1.0		0.0	-5.116918505585592	3.0
samp_47	-1.2322587928964441		0.0		0.0		0.0	-4.639354155714242	1.0	-0.6194284221399187	1.0		0.0	-4.820487765617367	2.0	-5.150555278498554	1.0	-1.6097559149237075	1.0	-4.170277804115251	2.0	-4.592316345712877	1.0	-7.428032672774259	2.0	-4.720377893033768	2.0	-0.34466478329765915	1.0	-5.008710737891229	1.0
samp_48	-1.6073758818362684	-4.88252437673764	1.0	-2.315486785444486	1.0		0.0		0.0	-0.6255471651795379	1.0	-4.580012813612208	1.0	-4.696938989083332	3.0	-5.018770708960403	2.0	-1.6329163886198697	1.0	-4.071336671297259	1.0	-4.475626003475219	1.0	-7.2539347599997965	1.0		0.0	-0.3401398263425449	2.0		0.0
samp_49	-1.2791827604137702	-4.995940525511616	1.0		0.0		0.0		0.0		0.0	-4.689448326193939	3.0	-4.805731177509849	1.0	-5.134680664795662	3.0		0.0		0.0	-4.578486618608805	4.0	-7.406415801655761	1.0	-4.705219274488722	2.0		0.0		0.0
