name	location	log_t_250.0	dlog_t_250.0	log_t_125.0	dlog_t_125.0	log_t_50.0	dlog_t_50.0	log_t_25.0	dlog_t_25.0	log_t_10.0	dlog_t_10.0	log_t_5.0	dlog_t_5.0	log_t_2.5	dlog_t_2.5	log_t_0.0	dlog_t_0.0
c71r18.10L17	b2H1	0.6490690318630846	0.17119337092888293													-3.8210101036736113	0.18504692139564768
c71r18.10L19	b2H3	2.4136431983552513	0.5555531345162508	2.1708387676966865	0.06931164800705857	1.9211362161433372	0.04804202043070751	1.7666096569318868	0.09330159197446752	1.6431345336578378	0.11023181945494803	1.1939710080610908	0.04541723193879163	0.8413139892910843	0.030327785564521228	1.050628849756983	0.14561726155340218
c71r18.10L20	b2H4	0.47445900428253696	0.14084212973221938													-4.101790375507961	0.14197403977440776
c71r18.10L21	b2H5	-0.3587517650909763	0.20429335765734086													-4.748940441010466	0.25460826905668604
c71r18.10L23	b2H7	0.42494121863744644	0.13315031539602248													-4.013432132988288	0.2423367142750806
c71r18.10L24	b2H8	2.172545486855997	0.19010437925596302	1.78218096501957	0.18130898374552398	1.1373390046871505	0.021081953367247563	0.5420640262132908	0.18030155594031755	-0.2526866572945518	0.06322746512076548	-1.4269558255240262	0.10221070402237226	-1.9889214292461892	0.11000476341447801	-2.070116160227821	0.27577520461931176
c71r18.35L04	b1I8	1.9468478422214246	0.17320507495928958	1.4441328203205628	0.2070848686086594	0.6670278423054946	0.07581529704554024	0.07436830830441017	0.05321896768637928	-0.4930335401158677	0.11373630117869343	-1.8006440333288463	0.04364333159676091	-2.2949661048106322	0.04850690489712521	-2.180803290480102	0.29233992315889806
c71r18.35L06	b2A1	-0.37020475215792076	0.28840415200411684													-3.9723214320273885	0.30598379066541265
c71r18.35L07	b2A2	0.83788890231986	0.19556538790425387	0.5708359495980846	0.2101820411459025			-0.3337956595819404	0.2730952475476956	-1.0977009496143864	0.28850683833469143	-1.6078225988370691	0.25079055714977544	-2.6253826280828014	0.060180311455964974	-3.653235607998351	0.4080293952260098
c71r18.35L09	b2A4	1.3802999075454132	0.19034163176985938	1.03210397219132	0.1639779663444556											-2.4465569076841907	0.21548856836772737
c71r18.35L10	b2A5	1.9920020494540027	0.2508693313558877	1.6128750518237274	0.1870612316681058	0.752052483063204	0.07618318176389725	0.2647010220917666	0.18184025208776666	-0.2645399919773055	0.12940004069455435	-1.591140012238895	0.13942947231705274	-2.060760541758406	0.1460283634937052	-1.9340668312805995	0.27786182279562244
c71r18.35L11	b2A6	-0.6292866068547586	0.1564458872927996	-0.9816443200486311	0.2529438099620453	-1.2450690837807445	0.04333429562357409	-2.0113222978952687	0.12689034119417836	-2.6509619157732747	0.38702692467558303	-3.0268629530659257	0.17410309495185275	-4.171763929177969	0.11984184032769486	-4.722707771649952	0.30338489317354667
c71r18.35L12	b2A7	-2.9530269782048886	0.4028509740794023	-3.1739564263792985	0.08657198427356272											-5.358590761500057	0.4623911246016508
c71r18.35L13	b2A8	-3.0809223286041227	0.7443658934109465	-3.0893514640572635	0.16759584194621677											-5.433919206288493	0.509689721317524
c71r18.35L14	b2A9	-0.06845587063608899	0.16866545940405464	-0.47432268382480003	0.016090986069908875											-4.228146321892343	0.19656450622780344
c71r18.35L15	b2B1	2.140194337860774	0.2001996206393266	1.669278206553361	0.34443039316080776	0.9480079118319407	0.021308316397062762	0.40444029890112654	0.1728738401019073	-0.07704258672937883	0.041521497823367	-1.3572836383997808	0.039894482487297225	-1.920886813537688	0.09212231368163436	-1.8040613963303123	0.3179671963623596
c71r18.35L16	b2B2	2.1865250513799053	0.3034425320516483	2.123143986249052	0.12757307485207328			1.4450124039126513	0.14246826688112654	0.9430633499848583	0.19530329322690565	0.5634523361080049	0.145133463349944	-0.6553841592216834	0.13570279756734271	-1.5832441043636027	0.32191649684739276
c71r18.35L18	b2B4	2.8700899664988686	0.3924904178037705	2.7272967802923564	0.22599603184780007	2.6800449660401857	0.1142422666575649	2.6954901395197335	0.20303195684449718	2.672891514022813	0.12983316320341656	2.5778075803926734	0.20348683634903847	2.0327933637933087	0.08296786320356955	1.8359756185758176	0.22629827186740076
c71r18.35L19	b2B5	1.7242896641907546	0.1885475190899527	1.384862523481697	0.3137677185902064	1.1738020614417617	0.04611350143340844	0.7085166223411219	0.18300576882224887	0.021134208426368803	0.20869527226015033	-0.4021916078856255	0.13691512372645293	-1.6749519523263725	0.21883028351441808	-2.629252576509355	0.2897166575187041
c71r18.35L20	b2B6	1.7645469401227607	0.16154050565626749	1.5609233402228142	0.09921884193396026	1.2817459520219858	0.07482891547973934	0.7719837845638003	0.1481010138586491	0.1938880782335858	0.13371844331567467	-0.37416422820979545	0.09150092856792948	-1.373490718985689	0.07541651616130848	-2.219627684672845	0.37315149585454543
