run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight	b2B9_log_P	b2B9_weight	b2A7_log_P	b2A7_weight	b2A9_log_P	b2A9_weight	b2A4_log_P	b2A4_weight	b2A8_log_P	b2A8_weight
samp_70	0.15849406971149518	-4.95040652745088	4.0		0.0	-4.811681593784337	3.0	-4.574213806447025	1.0	-0.5849184868668842	2.0	-4.710296088121072	1.0	-4.6956285371789654	1.0	-5.176565132936702	1.0		0.0	-4.099657673396343	2.0		0.0		0.0	-4.918654689469658	3.0		0.0		0.0	-4.693713442941612	1.0		0.0	-6.294132737279048	3.0		0.0	-10.016704150057961	1.0		0.0		0.0		0.0
samp_71	-0.09152983386733513	-4.907255225708379	2.0		0.0		0.0	-4.5382194391391275	1.0		0.0	-4.669244718176117	2.0		0.0	-5.130786429833995	1.0	-1.5155558030034522	2.0	-4.079980107442292	1.0	-4.55128859680487	1.0		0.0		0.0	-0.34459910643570546	3.0	-4.171216093194518	1.0	-4.653660699488392	2.0		0.0		0.0		0.0	-9.898410993175206	2.0	-7.14421560809348	1.0	-5.2895205395264115	2.0	-9.824480968243698	2.0
samp_72	0.3312397386675904	-4.976176656940633	1.0		0.0	-4.835787582231349	3.0	-4.595248629137872	2.0	-0.5849050064152777	1.0	-4.734703499186471	2.0	-4.718371014209199	1.0		0.0		0.0		0.0	-4.603764322464894	1.0	-7.855815384208274	2.0	-4.944730115726687	1.0		0.0	-4.2229895953186976	3.0	-4.717453711881278	1.0		0.0	-6.332135486855416	1.0	-9.848801303862528	1.0	-10.090297114651023	1.0	-7.26402928074412	2.0		0.0		0.0
samp_73	0.002834493870837105	-4.9243782747129226	1.0		0.0		0.0		0.0	-0.584924722191031	2.0		0.0	-4.67243307956224	1.0		0.0	-1.5135329791293022	1.0	-4.088121348017529	2.0	-4.564656002260706	1.0	-7.753567799019817	1.0		0.0	-0.3448133050631648	1.0	-4.184343894813163	2.0		0.0	-5.240990679513654	2.0		0.0	-9.70125731365441	1.0	-9.944670248353482	4.0	-7.172911239076821	2.0		0.0	-9.869888974319784	2.0
samp_74	0.36243457310549615		0.0		0.0		0.0	-4.5987271471705915	1.0	-0.5849027974736034	1.0	-4.738786403606705	2.0	-4.72215937541663	1.0	-5.208724786071268	1.0	-1.5069970001935074	2.0		0.0		0.0	-7.864759953043548	3.0	-4.9491140632116375	1.0		0.0		0.0	-4.721418555425546	2.0	-5.3060756196703895	1.0	-6.338615678796192	2.0		0.0	-10.102875173625957	2.0		0.0	-5.372183558275342	2.0	-10.025422697689903	2.0
samp_75	0.09511667398863827		0.0		0.0	-4.802046983306436	1.0	-4.565731052330985	1.0		0.0	-4.700546850380498	2.0		0.0	-5.165644330899408	1.0	-1.511685161369694	1.0	-4.095230505947677	1.0	-4.576776344883217	2.0		0.0	-4.908274584940096	1.0	-0.34501345816333334	2.0	-4.1962735217739455	3.0	-4.684216033187683	1.0	-5.259094400166148	1.0	-6.279289158676604	1.0		0.0		0.0		0.0	-5.3263548519981905	2.0	-9.912474413513358	3.0
samp_76	-0.0858759458389895	-4.90830942757178	1.0	-2.170772524158579	2.0		0.0	-4.539111959249673	2.0	-0.5849099771374959	1.0		0.0	-4.658006020204988	2.0	-5.131902441050938	1.0	-1.5154296664017661	1.0	-4.0804917307362265	1.0		0.0		0.0	-4.876131038584341	1.0	-0.344610815517083	3.0	-4.172027047814738	2.0		0.0	-5.22264240246556	1.0		0.0	-9.657322542341035	1.0	-9.901236920147323	1.0		0.0		0.0	-9.827252514067721	3.0
samp_77	0.28680872929992385		0.0	-2.1594650722672806	2.0	-4.829883093543565	1.0	-4.590117976716329	1.0	-0.5849125033474151	1.0		0.0		0.0	-5.197328034399407	2.0		0.0	-4.107558054387559	1.0		0.0	-7.842842686044277	2.0	-4.938326139109892	1.0		0.0		0.0	-4.7116385894628365	1.0	-5.293587966579091	2.0	-6.322703535602307	4.0	-9.830270361198359	1.0	-10.072001041364702	1.0		0.0	-5.360022024486229	1.0	-9.995054587871605	2.0
samp_78	0.2688787449402364	-4.967238070409733	1.0	-2.1599509167361552	1.0		0.0		0.0	-0.5849142909875104	2.0	-4.726248091029129	1.0	-4.710511493264841	2.0		0.0	-1.5085294433389633	1.0	-4.106535212147219	1.0	-4.5971762650814725	1.0	-7.837531127627077	3.0	-4.935681453445821	2.0	-0.345313126007698	1.0	-4.216440190409817	1.0	-4.709236636689054	1.0		0.0	-6.318829975093791	2.0	-9.822644130899558	2.0		0.0	-7.247796198093685	1.0		0.0		0.0
samp_79	-0.15178998386889148		0.0	-2.1730074746945984	1.0	-4.760196826626491	2.0	-4.5285072434771205	1.0		0.0	-4.658288481092997	1.0		0.0	-5.1186588314083705	3.0	-1.516913108167755	3.0	-4.074291696623799	2.0		0.0	-7.700521104724436	2.0	-4.863487321955279	1.0	-0.3444185544207672	1.0	-4.162326155300018	1.0		0.0	-5.208406492155613	1.0		0.0	-9.623596197378077	2.0	-9.867880774953926	1.0	-7.125330218656724	1.0		0.0		0.0
samp_80	0.3712906889892147		0.0	-2.1572237117835065	2.0	-4.840940849341893	2.0	-4.599712308612495	2.0	-0.5848976473978182	1.0		0.0	-4.723218084632464	2.0		0.0	-1.5068559046417844	1.0		0.0	-4.607809963577731	1.0		0.0	-4.950329599946063	1.0		0.0	-4.227011737308605	1.0	-4.722526582049848	1.0	-5.3074919249538075	3.0	-6.340436459656003	3.0		0.0	-10.106404690082632	2.0	-7.27418973338017	1.0		0.0		0.0
samp_81	-0.11097138299683297	-4.903599057386941	2.0		0.0	-4.767597112924104	1.0		0.0		0.0		0.0	-4.653760427215125	1.0	-5.126924623675453	1.0	-1.5159870771738113	2.0	-4.078185593129973	1.0		0.0	-7.71481158756747	1.0	-4.871377559358529	1.0	-0.3445479094943899	2.0	-4.168389923467089	2.0		0.0	-5.217284491432488	1.0		0.0		0.0	-9.888642780787517	3.0		0.0	-5.285448411059851	4.0	-9.814896948707391	1.0
samp_82	0.047116161511374106	-4.932058380435059	1.0	-2.166466894274329	1.0		0.0	-4.559015539875012	1.0		0.0		0.0		0.0	-5.1570655420421	2.0	-1.512633036204349	3.0	-4.091627849353327	1.0		0.0	-7.768196582852249	2.0	-4.900114933680399	1.0		0.0	-4.190178253362589	2.0	-4.676730215485721	3.0	-5.249801805837675	1.0		0.0	-9.722552100441334	1.0	-9.965708726027087	2.0	-7.186005065756623	1.0	-5.317270506558972	1.0		0.0
samp_83	-0.02376100074043365		0.0		0.0	-4.782769323628957	1.0		0.0		0.0	-4.681066029805738	2.0	-4.668196589297709	3.0	-5.143907022357515	2.0	-1.5140823700795911	1.0	-4.0859182172249975	2.0	-4.560993061006176	1.0		0.0		0.0	-0.34477046282778956	2.0	-4.180741696304619	2.0		0.0		0.0	-6.250130682326572	2.0	-9.688263888932015	2.0	-9.931832504646772	1.0	-7.164942355772057	1.0	-5.303367273125175	1.0		0.0
