run	log_tbg	log_alphap	log_betap	b9E5_log_P	b9E5_weight	b9E8_log_P	b9E8_weight	b9F3_log_P	b9F3_weight	b9F4_log_P	b9F4_weight	b9F5_log_P	b9F5_weight	b9F6_log_P	b9F6_weight	b18F3_log_P	b18F3_weight	b18F8_log_P	b18F8_weight	b18F9_log_P	b18F9_weight	b18G1_log_P	b18G1_weight	b18G2_log_P	b18G2_weight	b18G6_log_P	b18G6_weight	b18G7_log_P	b18G7_weight	b18G9_log_P	b18G9_weight	b18H1_log_P	b18H1_weight	b18H3_log_P	b18H3_weight	b17E2_log_P	b17E2_weight
samp_65	-8.038873789875204	1.9538550600929354	-0.31570942960774145		0.0	-9.442892378811917	2.0	-8.676133876131185	2.0		0.0	-8.853427786389771	1.0		0.0	-6.254264248332766	2.0		0.0		0.0		0.0	-3.561537823612165	1.0	-1.091893173873622	2.0	-6.354615598789886	3.0	-5.081822802152527	1.0		0.0	-3.6129874902360326	1.0	-5.469579590085529	2.0
samp_66	-7.042478090026136	1.9823243324769189	-0.19832254507692043		0.0	-9.783153589464337	1.0	-8.876770105438652	2.0	-9.64423101748431	1.0	-9.07163700311207	2.0		0.0	-6.340928400971235	1.0	-7.980933156321184	1.0	-3.124059748543576	2.0	-7.359079524983377	1.0	-3.6337855731836877	1.0	-1.149697209881624	2.0	-6.443010216675073	1.0		0.0	-4.6786415607372085	1.0	-3.685799050020903	1.0		0.0
samp_67	-6.685813773793078	2.0308242282106783	-0.2730440483435852		0.0		0.0		0.0	-9.787514572489972	1.0	-9.138330583280727	1.0		0.0	-6.335717664428225	2.0		0.0	-3.107870724592065	1.0	-7.3713369163742355	1.0		0.0	-1.12043712058175	2.0	-6.43885784017887	2.0	-5.147069436174496	2.0	-4.665519128605866	4.0		0.0	-5.5384155324075435	1.0
samp_68	-8.792607416301033	1.6047964195571849	-0.02865047291248184	-0.5124752245833446	1.0		0.0	-8.608218957510498	2.0		0.0	-8.779690801739621	2.0	-7.027665094705924	1.0		0.0	-7.7799600996560665	2.0	-3.0450824513954804	1.0	-7.202124680282012	2.0	-3.550557215686546	1.0	-1.1874996497669228	2.0		0.0	-5.0556193090085415	2.0		0.0	-3.6042360859039277	1.0		0.0
samp_69	-7.8574321203202295	-13.40036764472663	14.962210755657795		0.0	-9.425619663445131	2.0	-8.648000044285183	1.0		0.0	-8.82667031392203	1.0		0.0	-6.224168826921554	1.0	-7.800462124469147	2.0		0.0		0.0	-3.599554731450737	2.0		0.0	-6.324141616804198	4.0	-5.064854992082296	2.0	-4.593713546755931	1.0	-3.6583160010590414	1.0		0.0
samp_70	-6.961675008306265	1.9577002008808755	-0.04230980473750924	-0.555493392000246	2.0	-9.91321943319553	1.0	-8.976711498128816	4.0	-9.78298189755362	1.0	-9.175281217150484	1.0		0.0		0.0		0.0	-3.190948426104946	2.0		0.0	-3.7021741362078586	1.0	-1.2221355092667912	1.0	-6.513472070674385	1.0		0.0		0.0	-3.754978446039336	2.0	-5.616724144564877	1.0
samp_71	-6.9734158538481354	1.5132528905476423	0.09901011648078442	-0.5680486137252855	3.0	-9.685495444148568	1.0		0.0	-9.542036374749541	2.0	-8.977670259854262	1.0		0.0	-6.2566087870814435	1.0		0.0	-3.0688852847850536	1.0	-7.271238073623569	2.0	-3.574528268599118	1.0	-1.2440588008854008	1.0	-6.358381279095736	1.0	-5.080133918509497	1.0		0.0	-3.628966322445922	1.0	-5.467532327012877	1.0
samp_72	-6.6870970483151035	2.000120735277742	-0.15055542979385603	-0.5137950628451549	1.0	-9.983435649616892	1.0		0.0	-9.86289777336885	2.0	-9.200178834511705	1.0	-7.212532742293826	3.0		0.0	-8.070503522008655	1.0		0.0	-7.423335574429394	1.0		0.0	-1.1737632602771355	1.0	-6.48722674020978	1.0		0.0	-4.712844646608278	4.0	-3.7184922796022013	1.0		0.0
samp_73	-6.388852932850446	1.8100161733469957	-0.17920378388470787		0.0		0.0		0.0	-9.861402818086892	3.0		0.0		0.0		0.0	-7.987846536607084	2.0	-3.0613565121369897	1.0	-7.329099816680246	1.0	-3.569053502918961	1.0	-1.1393300444209697	2.0	-6.384211051266882	3.0	-5.089731432950475	1.0	-4.608796281171272	1.0	-3.62189324509282	1.0	-5.480813550821646	1.0
samp_74	-7.192674284022115	1.4663616657957406	0.11371742887458364	-0.5684547940115178	2.0	-9.589358456245284	1.0	-8.728923358757218	1.0	-9.440792150886034	1.0	-8.918179588872444	1.0		0.0	-6.236497182003972	1.0	-7.850607637915694	2.0	-3.054941518419154	1.0	-7.242290534116952	1.0	-3.5600691101156374	1.0	-1.2440177021746681	1.0	-6.337731760445476	1.0	-5.063287433018843	1.0		0.0	-3.614622339766996	2.0		0.0
