run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight	b2B9_log_P	b2B9_weight	b2H4_log_P	b2H4_weight	b2H1_log_P	b2H1_weight	b2H5_log_P	b2H5_weight	b2H7_log_P	b2H7_weight	b2F8_log_P	b2F8_weight	b2F6_log_P	b2F6_weight	b2G5_log_P	b2G5_weight	b2F9_log_P	b2F9_weight	b2F7_log_P	b2F7_weight	b2G2_log_P	b2G2_weight	b2G6_log_P	b2G6_weight	b2A7_log_P	b2A7_weight	b2A1_log_P	b2A1_weight	b2A9_log_P	b2A9_weight	b2A4_log_P	b2A4_weight	b2A8_log_P	b2A8_weight
samp_72	2.41322944648655	-4.873364493480859	1.0	-2.0952118157181734	3.0		0.0		0.0	-0.5792317583232032	2.0		0.0		0.0	-5.030610396817321	4.0	-1.4758647224154209	1.0	-3.9540068832559343	1.0	-4.437368065806467	2.0		0.0	-4.986695881014562	3.0		0.0		0.0		0.0		0.0	-6.40814559753002	1.0	-10.071122046555208	4.0	-6.868015754770275	1.0	-6.611355905876547	2.0		0.0		0.0	-4.964200320014835	1.0	-12.21695992596263	1.0	-6.647438567245655	2.0		0.0		0.0	-10.501071201586518	2.0	-5.0928946883052655	1.0		0.0		0.0	-7.275832536516533	2.0		0.0	-10.44673257961675	1.0
samp_73	13.597520177986771	-4.8959488419331265	3.0	-2.0936135083629317	1.0		0.0	-4.511719962209169	1.0	-0.5795357868862918	2.0	-4.712956355741118	1.0	-4.680269545618005	1.0		0.0	-1.4747588866808405	1.0	-3.9599973869518483	1.0		0.0	-7.976380100207553	1.0		0.0	-0.3411395599293997	1.0	-4.305315628081419	1.0	-4.711301235547138	1.0	-5.329314500047928	3.0		0.0		0.0	-6.914830753845735	2.0	-6.6555027493397265	2.0		0.0		0.0	-4.987359504485801	1.0	-12.301622570369037	3.0		0.0		0.0	-5.0534674642149175	1.0	-10.585860708302873	1.0		0.0	-10.383678125984614	1.0		0.0	-7.3284545098381875	3.0	-5.3715095395729975	2.0	-10.531217489345643	1.0
samp_74	2.9829479313360676	-4.883082713397244	3.0	-2.09453739628456	1.0		0.0		0.0	-0.5793424519731096	1.0	-4.700666050169465	1.0		0.0	-5.040990798970268	3.0	-1.4753988375822715	1.0	-3.9567045463384387	1.0		0.0	-7.940997375792863	1.0	-4.9965501075631655	2.0	-0.3407951077341677	1.0	-4.297614280595203	2.0		0.0	-5.312723173553632	1.0	-6.42592449538431	1.0		0.0	-6.88781264078036	1.0	-6.630051270881858	1.0		0.0		0.0	-4.974165086545422	1.0	-12.252831095490103	3.0	-6.666360339038235	2.0		0.0	-5.040028037107739	1.0		0.0	-5.103802462506723	3.0		0.0	-7.368112961442807	1.0		0.0	-5.356184373929619	1.0	-10.482503037142013	2.0
samp_75	8.456559380722934	-4.8958916634081815	2.0		0.0	-4.765416695077313	3.0	-4.511679890561871	1.0	-0.5795377699282168	3.0	-4.7129052381574255	1.0		0.0		0.0	-1.474755988934711	1.0	-3.9599841524447768	1.0	-4.451659114641422	3.0	-7.976224414314494	1.0		0.0		0.0		0.0		0.0	-5.3292443008123405	1.0	-6.449986782964917	1.0		0.0	-6.914708302244228	1.0	-6.655401437032535	1.0	-7.789936453605764	3.0		0.0		0.0		0.0	-6.69201801044664	3.0	-11.702714611598335	1.0	-5.053408821625343	2.0		0.0	-5.11823813268715	2.0	-10.383460062626368	1.0	-7.400231740540524	1.0	-7.328320597196528	1.0		0.0	-10.530999094179894	1.0
samp_76	16.95826590129202	-4.895945040473292	3.0	-2.0936125139466983	1.0	-4.765467679692377	2.0	-4.511720114115589	1.0	-0.5795318748711465	1.0	-4.7129564641491974	1.0		0.0		0.0	-1.474761565913803	3.0		0.0	-4.451691085204566	1.0	-7.97638047096211	1.0		0.0		0.0	-4.305315937821574	2.0	-4.711301355928574	1.0	-5.3293151084666155	3.0	-6.450090876088639	2.0	-10.157335410407173	1.0	-6.914827538510419	1.0		0.0	-7.790080307797103	1.0		0.0		0.0		0.0	-6.692130827330244	1.0	-11.702913259993638	1.0		0.0	-10.585856528392707	2.0	-5.118300618065302	2.0	-10.383678507453185	3.0		0.0		0.0	-5.371519329755617	1.0		0.0
samp_77	3.411996648042572	-4.887543824812723	1.0	-2.0942159922437087	1.0	-4.7578847471897525	1.0	-4.505409326282646	1.0		0.0	-4.704929946575167	1.0	-4.6734047134135785	1.0		0.0	-1.475180362560934	2.0	-3.9578840259495833	1.0	-4.446445478396171	1.0	-7.953104651607674	2.0		0.0	-0.3409245186175902	3.0		0.0	-4.703786801325438	1.0	-5.318451895724066	1.0	-6.4342197702132085	1.0	-10.124681782871388	1.0	-6.897068691270044	2.0		0.0	-7.768347634701124	2.0	-6.879172508295391	1.0		0.0	-12.26958604988825	1.0		0.0	-11.671586678433107	1.0	-5.044687189767022	1.0	-10.553746930024044	2.0		0.0	-10.351548875955299	3.0	-7.379145284269151	1.0		0.0	-5.361484501796573	2.0		0.0
samp_78	2.72467366966727	-4.8793370487166765	1.0	-2.094793930272465	2.0	-4.750449354190992	2.0		0.0		0.0	-4.697084620731885	3.0	-4.666645740785661	2.0	-5.036989138927106	2.0	-1.4755867774329483	1.0		0.0	-4.441224965784309	2.0		0.0	-4.992751758172463	1.0		0.0	-4.295331589575091	1.0		0.0	-5.307930973082795	3.0		0.0		0.0		0.0	-6.622793369520005	1.0		0.0	-6.862217170467488	2.0		0.0		0.0	-6.659009272339793	1.0	-11.641625959087571	2.0	-5.036115818858639	1.0		0.0	-5.099590115252804	1.0	-10.320798476989392	1.0	-7.358965371570713	2.0	-7.289404613741097	2.0	-5.351738509970567	1.0	-10.468607531602188	1.0
samp_79	15.180758881731919		0.0	-2.0936048015125572	1.0		0.0		0.0		0.0		0.0	-4.680268502400361	2.0	-5.054772376822348	2.0	-1.474761340448321	3.0		0.0	-4.451690942457949	1.0		0.0		0.0	-0.34114610256642336	2.0	-4.305316572090481	3.0	-4.711297356714468	3.0	-5.329312965093111	2.0		0.0		0.0	-6.914840671017799	3.0		0.0	-7.790076304165431	3.0		0.0		0.0	-12.301602603018074	1.0	-6.692129178173728	1.0		0.0		0.0	-10.585861578862463	1.0	-5.118300460690609	1.0		0.0	-7.400373539758431	1.0	-7.3284627393852215	4.0		0.0	-10.531211241134233	1.0
samp_80	3.4581830382865095	-4.887919390391524	2.0	-2.0941909332077064	1.0	-4.75822604802157	1.0	-4.505693954517379	1.0	-0.5794264303353356	2.0		0.0	-4.67371420100373	1.0		0.0		0.0	-3.957981611624503	1.0	-4.4466831470420685	2.0	-7.954125073980257	1.0		0.0	-0.3409347824634736	1.0		0.0		0.0		0.0		0.0	-10.126126646509364	1.0	-6.897859757534816	1.0	-6.639529004910322	4.0		0.0	-6.879960785731011	2.0	-4.979130702926702	2.0		0.0	-6.675946345942121	1.0	-11.672982999650323	2.0	-5.045081781958402	1.0	-10.555173579838677	2.0	-5.10924324218945	1.0	-10.352959109699784	2.0	-7.3800869841504335	1.0		0.0		0.0	-10.500635528780737	2.0
samp_81	2.2386937478833304		0.0	-2.0955009030761365	3.0	-4.741174735734735	1.0		0.0	-0.579154364778243	1.0		0.0	-4.658180540901126	1.0		0.0	-1.4761035077047366	1.0	-3.952772540388029	2.0	-4.43461438398045	1.0	-7.904284228205595	1.0	-4.982409824523969	1.0	-0.3404214482649207	3.0		0.0		0.0	-5.294975103020353	1.0	-6.400539509131051	1.0		0.0	-6.859565444111585	1.0	-6.6033659815926375	1.0	-7.722680929288837	1.0	-6.841654457278856	1.0	-4.959867226972893	1.0		0.0	-6.639353788924133	1.0	-11.605216531778781	2.0	-5.025473065966723	1.0	-10.485729074137424	3.0		0.0		0.0	-7.334598771327782	1.0	-7.266385569036096	2.0	-5.339687708349777	1.0	-10.431436417767888	2.0
