run	log_F	b5F2_log_P	b5F2_weight	b5G4_log_P	b5G4_weight	b5H3_log_P	b5H3_weight	b5H7_log_P	b5H7_weight	b5H2_log_P	b5H2_weight	b5H6_log_P	b5H6_weight	b5G9_log_P	b5G9_weight
samp_78	0.5614319996173663	-1.1265860428378622	1.0		0.0		0.0	-2.248744053046247	2.0	-2.699946043516708	1.0	-1.2970980517182853	3.0		0.0
samp_79	0.34301465114497626	-1.203599798743984	1.0	-4.54383632675663	3.0	-4.063294661009326	2.0		0.0	-2.768948409956767	1.0		0.0		0.0
samp_80	0.44805342857094804	-1.1676755536519527	1.0		0.0	-4.03199070572097	1.0	-2.2861203372030063	2.0	-2.7365615913034196	1.0	-1.3371299742795824	1.0	-4.975719568529336	1.0
samp_81	0.4324981445288148	-1.1731211393148027	1.0		0.0	-4.03671063533272	1.0	-2.291105764961779	2.0		0.0	-1.3424471345536786	1.0	-4.9803123100741775	2.0
samp_82	0.4614593731813502		0.0	-4.508847745332801	1.0		0.0	-2.2817964560396504	3.0	-2.7323208864024533	1.0		0.0	-4.971741438539292	2.0
samp_83	0.4878400835728349	-1.153532369528953	1.0	-4.500838984198234	2.0		0.0	-2.2732129632771914	1.0		0.0	-1.3233424409851533	2.0	-4.9638556614881635	1.0
samp_84	0.3827823459735757	-1.190238275345567	1.0	-4.532267702109734	2.0	-4.051597016650934	1.0	-2.306803855727215	1.0		0.0		0.0	-4.994818145600328	2.0
samp_85	0.42953646563801384	-1.1741569239726766	1.0		0.0	-4.037604153736924	1.0	-2.2920497721655417	2.0	-2.7423781889213217	2.0		0.0	-4.981183869771948	1.0
samp_86	0.4842332519949288		0.0	-4.501939082463411	2.0		0.0	-2.2743914431586014	1.0	-2.7250634077314344	3.0	-1.3246060190322357	1.0		0.0
samp_87	0.4532077732916464	-1.1658595574033104	1.0	-4.511337337136181	1.0		0.0	-2.2844610164532284	2.0	-2.734933566468456	1.0		0.0	-4.974192070950568	2.0
samp_88	0.3941872265464251	-1.1863519557901911	1.0	-4.52891609931041	3.0	-4.048210170928454	1.0		0.0	-2.7533542677523535	2.0		0.0		0.0
samp_89	0.5213116933411863		0.0		0.0		0.0	-2.2621802615341755	5.0		0.0	-1.3115259816725438	1.0	-4.953745088995796	1.0
samp_90	0.4247343025503679	-1.1758271306401282	2.0	-4.519867841322494	2.0		0.0		0.0	-2.743879028951835	1.0		0.0	-4.982595279502678	2.0
samp_91	0.454818556909877	-1.1652914270847499	2.0		0.0	-4.029930449436886	1.0	-2.2839405274243307	1.0	-2.734423701281186	2.0	-1.3348076990422324	1.0		0.0
samp_92	0.4355471350885558	-1.1720596776600298	3.0		0.0	-4.035786412728299	1.0	-2.2901329825538523	1.0		0.0	-1.3414059029234304	1.0	-4.979412764843298	1.0
samp_93	0.4374958286921814	-1.1713787176502304	1.0	-4.516056500019299	1.0	-4.035195065725842	1.0		0.0	-2.739883010808649	3.0	-1.3407423121333977	1.0		0.0
samp_94	0.4027166532488782	-1.183430680688583	5.0	-4.526405032650949	1.0	-4.045659102067654	1.0		0.0		0.0		0.0		0.0
samp_95	0.41279426657121004	-1.1799618103693026	1.0	-4.523417154583509	2.0	-4.042645312072782	1.0	-2.2973691753835954	1.0	-2.747597829543217	2.0		0.0		0.0
samp_96	0.4498232205519559		0.0	-4.512356103311198	1.0	-4.031452194789654	1.0	-2.2855510668511316	1.0	-2.7360026523808316	1.0	-1.3365230965747463	2.0	-4.975195630271874	1.0
samp_97	0.46266975863699605	-1.162514620420166	1.0	-4.508482215518169	2.0	-4.027531771812611	1.0		0.0		0.0	-1.3320978413875928	3.0		0.0
samp_98	0.3886765940446709		0.0	-4.530536867132051	2.0	-4.0498472823876375	2.0	-2.3049628659604675	2.0		0.0	-1.3571881498801395	1.0		0.0
samp_99	0.41132746948104826	-1.1804696828703003	1.0	-4.52385203616537	3.0	-4.043083219551893	1.0		0.0	-2.748055059304594	1.0	-1.3496083161727535	1.0		0.0
