run	log_tbg	log_alphap	log_betap	b9F9_log_P	b9F9_weight	b9G1_log_P	b9G1_weight	b9G2_log_P	b9G2_weight	b9G3_log_P	b9G3_weight	b9G5_log_P	b9G5_weight	b9G6_log_P	b9G6_weight	b9G8_log_P	b9G8_weight	b9H1_log_P	b9H1_weight	b9H3_log_P	b9H3_weight	b9H4_log_P	b9H4_weight	b9H5_log_P	b9H5_weight	b9H6_log_P	b9H6_weight	b9H7_log_P	b9H7_weight	b9H9_log_P	b9H9_weight	b9I1_log_P	b9I1_weight	b9I2_log_P	b9I2_weight	b17E6_log_P	b17E6_weight
samp_30	-21.26616150826994	0.40519917367873365	0.3326403970037009	-3.2143968170512474	1.0	-5.644115555611191	1.0		0.0	-3.3885179521668065	1.0		0.0	-5.81418566030163	1.0	-5.846717500042466	1.0	-7.575607986557712	1.0	-8.768518688375218	2.0	-8.380503238385387	2.0	-7.688282518169926	1.0	-1.7054669902580746	1.0	-1.2044020462814964	1.0	-6.473774828253944	1.0	-7.024706951331586	2.0		0.0	-5.718692273743366	1.0
samp_31	-21.897819122689814	0.9633473817802923	-0.19609924527406375	-3.2074926699714896	2.0	-5.657043916425321	1.0	-5.907855172634026	1.0	-3.385844014676174	1.0	-7.89071945123099	3.0	-5.827205134205206	5.0		0.0		0.0	-8.783164995099321	1.0		0.0		0.0	-1.6313394048884562	1.0		0.0		0.0		0.0	-6.319131229952822	1.0	-5.731270741868021	1.0
samp_32	-8.220955707154497	0.8682201506949426	-0.11500524810739612	-3.205200335032996	2.0	-5.654075860837644	1.0	-5.906143054772594	1.0	-3.3827663151795924	1.0	-7.917517244166019	3.0		0.0	-5.857799247852423	2.0	-7.608048413254265	1.0		0.0	-8.4487726706666	2.0	-7.7258354137480705	2.0	-1.6412609997574212	1.0		0.0		0.0		0.0	-6.319441652529835	1.0		0.0
samp_33	-22.215950692975927	0.5584317016940762	0.2722562612569158	-3.2576629428585773	1.0	-5.6903081598141805	4.0	-5.9409468880915375	2.0	-3.4324485434735363	1.0		0.0		0.0		0.0	-7.621991806825079	1.0	-8.814930394218024	3.0	-8.426874465422078	1.0	-7.734663746004917	1.0		0.0	-1.233107489173591	1.0	-6.520086980885694	1.0		0.0	-6.351656073441086	1.0		0.0
samp_34	-22.264678330996652	0.9177315860354153	-0.16323415137893832	-3.203137016427439	1.0	-5.650845426545509	1.0	-5.901634049082548	1.0		0.0	-7.8843681207852425	1.0		0.0	-5.853526345931707	1.0	-7.5837169400314135	1.0	-8.776793987826636	2.0	-8.38869640920826	1.0	-7.696364200711364	1.0	-1.6326513641431204	1.0		0.0	-6.481361657065065	2.0		0.0	-6.3128565628835185	2.0	-5.72508570549395	2.0
samp_35	-23.64184265701191	0.5705814440504808	0.16703674798633938	-3.20886875225714	1.0		0.0	-5.894263531118011	1.0	-3.3840641621236998	2.0	-7.876074686395788	2.0	-5.8136723561190315	2.0		0.0	-7.575446902806183	1.0	-8.768412476228827	1.0	-8.380363258344932	1.0	-7.688107917285495	2.0		0.0		0.0		0.0	-7.024474038461441	2.0	-6.305038512785793	1.0	-5.718057748956733	1.0
samp_36	-22.60606585185842	-22.63164663744113	23.289492065697395	-3.2040245226281834	4.0		0.0	-5.856894239398563	1.0		0.0		0.0	-5.7764011319348	2.0	-5.8089432691402205	1.0		0.0	-8.728640297456803	1.0	-8.340684404115617	1.0		0.0		0.0	-1.3763007009091837	1.0	-6.4348690940832345	1.0		0.0	-6.266590990181098	3.0	-5.681521043507137	2.0
samp_37	-24.141979668123856	0.3571683121480003	0.39746927508615354		0.0	-5.65268237698432	1.0		0.0	-3.398354507562161	1.0	-7.884621416238238	1.0	-5.822729046766375	3.0		0.0	-7.58405431584176	2.0	-8.776935661474107	1.0	-8.38891633087968	1.0	-7.6967036208533735	1.0	-1.7216572099953986	1.0	-1.2243121182079497	2.0	-6.482251566816874	1.0	-7.033147983339589	1.0		0.0	-5.72725523259964	1.0
samp_38	-40.8249435733287	-10.624519433280696	11.295308260903854		0.0	-5.612951629727029	2.0	-5.863377195944414	1.0	-3.3788595746954937	1.0		0.0		0.0	-5.815431186953034	2.0		0.0	-8.73509412684436	1.0	-8.347145544814987	2.0	-7.655112030857803	4.0		0.0		0.0	-6.4413356282222765	1.0	-6.991806313776185	1.0	-6.273063620016449	1.0	-5.688004124858847	1.0
samp_39	-21.634694739634597	0.9315102320458603	-0.15267629680057218	-3.2151169095181986	1.0	-5.66300486739392	2.0		0.0	-3.393121776331676	1.0		0.0		0.0	-5.865679031771672	2.0	-7.5958872322045	2.0	-8.788961459755027	2.0	-8.400861041932218	1.0	-7.708520633366158	3.0	-1.6442203713895873	3.0		0.0		0.0		0.0		0.0		0.0
samp_40	-20.763779968420643	0.9222951445611992	-0.14385555525872537		0.0	-5.662835494037037	3.0	-5.913617775995697	1.0		0.0	-7.896341783579613	1.0	-5.832978520959078	1.0	-5.865511175664568	1.0	-7.595691985304266	1.0	-8.788762448131127	1.0	-8.400665438884694	2.0	-7.708328932873399	1.0	-1.645746384595053	1.0		0.0	-6.493343300971073	2.0		0.0	-6.324834321915562	2.0		0.0
samp_41	-21.405196380644067	1.408798917990872	-0.6199741056219296	-3.190986743079731	3.0	-5.665476371130914	3.0		0.0	-3.3745600452449804	1.0	-7.9012762451173355	1.0	-5.835755986872486	1.0	-5.868297236165428	2.0	-7.600534197220011	2.0	-8.793885890253017	1.0	-8.405658033508134	1.0		0.0		0.0		0.0		0.0	-7.049079349772169	1.0		0.0	-5.739231964438368	1.0
samp_42	-20.618450797360737	0.2664528653705815	0.45517266160449554	-3.209909087715213	1.0	-5.636314458364347	2.0		0.0		0.0		0.0	-5.80635233421006	1.0		0.0		0.0	-8.76041534594453	1.0	-8.37241392199289	1.0	-7.6802117414489315	3.0	-1.7133880179868946	2.0	-1.2193749336719109	3.0	-6.465806764119307	2.0	-7.0166916297472115	1.0		0.0		0.0
samp_43	-22.663989045391208	0.1990123521608126	0.5168463957630489	-3.208652292076104	2.0		0.0		0.0	-3.381724704526799	3.0	-7.865254263718459	1.0	-5.80360659052888	1.0		0.0		0.0	-8.757549386893148	1.0	-8.369537538541492	1.0		0.0	-1.7178095045144681	1.0	-1.227160894705272	2.0	-6.462985363785912	2.0		0.0	-6.294603132761804	1.0	-5.708210027686861	2.0
