run	log_tbg	log_alphap	log_betap	b3D3_log_P	b3D3_weight	b7G5_log_P	b7G5_weight	b7G6_log_P	b7G6_weight	b7G7_log_P	b7G7_weight	b7G8_log_P	b7G8_weight	b7G9_log_P	b7G9_weight	b7H1_log_P	b7H1_weight	b7H2_log_P	b7H2_weight	b7H3_log_P	b7H3_weight	b7H4_log_P	b7H4_weight	b7H5_log_P	b7H5_weight	b7H6_log_P	b7H6_weight	b7H7_log_P	b7H7_weight	b7H8_log_P	b7H8_weight	b7H9_log_P	b7H9_weight	b7I1_log_P	b7I1_weight	b7I2_log_P	b7I2_weight	b7I3_log_P	b7I3_weight	b7I4_log_P	b7I4_weight	b7I5_log_P	b7I5_weight	b7I7_log_P	b7I7_weight	b7I8_log_P	b7I8_weight	b7I9_log_P	b7I9_weight
samp_37	-7.0272408826086865	4.13858860321083	-0.139166661976435	-4.606255345091044	3.0		0.0	-9.060388001666297	1.0	-5.174328743543366	1.0		0.0		0.0	-3.0524323840513676	3.0	-4.897819886196604	2.0	-0.04709255807944883	1.0		0.0	-2.540595811931562	1.0		0.0	-6.456862657024987	2.0		0.0	-5.409296807513967	2.0	-11.332077766391025	1.0		0.0	-1.5652340101549755	1.0	-8.013153261244891	3.0		0.0	-8.595597230451599	1.0	-11.036378451155299	1.0		0.0
samp_38	-5.976742555924598	3.764843655148803	0.01379192461888849		0.0	-10.21231689863486	2.0	-9.139150387882848	2.0	-5.118802105419533	2.0	-4.984787082809314	1.0	-2.3986413384818945	1.0	-3.080749447988673	2.0	-4.844453938238112	2.0	-0.05433717655970864	2.0		0.0	-2.5577706500855437	1.0		0.0	-6.385655018135269	2.0		0.0		0.0	-11.442867654416904	1.0		0.0	-1.5843336311580554	1.0		0.0		0.0	-8.584781276708762	2.0		0.0	-7.630566774357868	2.0
samp_39	-6.85734302058733	3.0877170712182638	0.2244183270150058	-4.418054200916581	1.0	-9.346742767520182	1.0		0.0	-4.926728104061872	1.0		0.0		0.0		0.0		0.0	-0.07961764585816866	1.0	-3.9088565295819	2.0	-2.561264065680683	1.0		0.0	-6.1360369009972695	1.0		0.0	-5.133938947097587	2.0	-10.707682425754147	2.0	-3.6978840744790498	1.0	-1.6296565356657822	2.0	-7.642027578462308	1.0		0.0	-8.199512556714607	1.0	-10.494367542941914	1.0	-7.2272364894138645	5.0
samp_40	-5.7189638662579565	4.156129062267699	-0.08890788596653686		0.0	-10.597904086947732	1.0	-9.44272885209523	2.0	-5.225131638675142	1.0		0.0	-2.396455903232878	1.0	-3.070287189606859	3.0	-4.941538339719672	3.0	-0.05107365263868603	1.0	-4.092093479207658	2.0		0.0	-4.078225751544226	1.0	-6.545185197085655	2.0	-5.899161241975016	2.0	-5.461372457773259	1.0		0.0		0.0		0.0		0.0	-4.025345328525144	1.0	-8.832766355700706	1.0		0.0	-7.927822436301291	1.0
samp_41	-7.303100272593371	3.859864301782889	0.018659518001455423	-4.597647167631943	2.0		0.0	-8.923536806930574	1.0	-5.146315949427801	1.0		0.0	-2.402871031727365	1.0	-3.0856624950160474	2.0	-4.873407917098047	1.0	-0.055075948814224625	2.0	-4.05895982996982	1.0		0.0	-4.052461095856144	5.0		0.0		0.0	-5.371381524281739	1.0	-11.11039717183118	1.0		0.0		0.0	-7.9287316967396855	1.0	-3.997939976629776	2.0		0.0	-10.886946696022985	2.0		0.0
samp_42	-7.453129450834897	3.8975866336092784	0.05638779894417194	-4.6269646477303725	1.0	-9.654787292352049	1.0		0.0		0.0	-5.045856826936163	3.0	-2.4123885051397367	1.0	-3.099636287102747	1.0	-4.904688758537613	1.0	-0.05832645513218743	2.0		0.0		0.0	-4.0773671892595225	1.0	-6.436536630839888	1.0		0.0	-5.404881060381677	1.0		0.0	-3.874399610148663	3.0	-1.5883983991702293	2.0	-7.962075346561498	2.0		0.0		0.0	-10.923360785368688	3.0		0.0
samp_43	-7.5211552782936595	3.301790545451552	0.40731904763301036	-4.590652547480425	2.0	-9.423625364204176	1.0		0.0	-5.108942677848276	1.0	-4.977050516469562	1.0		0.0	-3.187226476195279	1.0	-4.841547398189835	2.0		0.0		0.0		0.0	-4.075013610809258	2.0	-6.327396994148063	3.0		0.0	-5.319435823342656	1.0		0.0	-3.8518639837948	1.0		0.0	-7.829528559858986	1.0	-4.016771047257287	2.0	-8.384606983655006	2.0	-10.704733685257455	2.0	-7.403029491569637	1.0
samp_44	-7.226004935205627	3.9972321022008948	-0.11003941776965694	-4.578973510549129	3.0	-9.703720275403931	1.0		0.0	-5.135725745350303	2.0	-5.003701439472159	1.0	-2.3836303050856795	1.0	-3.0536905909364456	2.0		0.0		0.0		0.0	-2.539738301050542	1.0	-4.029020302673407	1.0	-6.401683359989831	3.0	-5.785692600823396	1.0		0.0	-11.148458283423754	1.0		0.0	-1.567509221711529	1.0	-7.936719658012358	1.0		0.0	-8.50717388795913	1.0	-10.907706380589289	3.0		0.0
samp_45	-7.052898394918749	4.300162585901505	-0.12342216682713204	-4.654819814670963	2.0		0.0		0.0		0.0	-5.103865965656833	1.0		0.0	-3.0610329116131574	2.0	-4.957273782419708	3.0	-0.05010880924770743	1.0	-4.099635610745512	1.0		0.0		0.0		0.0	-5.910225239501466	1.0	-5.479606553095295	1.0	-11.506820681148007	1.0	-3.897908169356809	2.0	-1.5673554401516738	5.0		0.0		0.0	-8.704320910590624	2.0	-11.18862537972667	1.0		0.0
samp_46	-6.6121519521694125	3.9454343180600815	0.03871567214235397	-4.637110680222888	3.0	-10.154012734920236	1.0	-9.15201816672314	1.0		0.0	-5.060081597113366	2.0		0.0	-3.0972662451517454	1.0	-4.917739743098426	1.0	-0.057376248293729656	2.0	-4.090827374604694	1.0	-2.570546559991967	1.0	-4.082861705415825	1.0	-6.466828393273816	2.0	-5.845686355985122	1.0	-5.422119266847817	1.0	-11.43765506960841	2.0	-3.8809409558515084	1.0		0.0		0.0		0.0	-8.6402901745119	1.0	-11.080220053832939	1.0		0.0
