run	log_tbg	log_alphap	log_betap	b14A8_log_P	b14A8_weight	b14A9_log_P	b14A9_weight	b14B1_log_P	b14B1_weight	b14B2_log_P	b14B2_weight	b14B3_log_P	b14B3_weight	b14B4_log_P	b14B4_weight	b14B5_log_P	b14B5_weight	b14B6_log_P	b14B6_weight	b14B7_log_P	b14B7_weight	b14B8_log_P	b14B8_weight	b14B9_log_P	b14B9_weight	b14C1_log_P	b14C1_weight	b14C2_log_P	b14C2_weight	b14C3_log_P	b14C3_weight	b14C4_log_P	b14C4_weight	b14C5_log_P	b14C5_weight	b14C6_log_P	b14C6_weight	b14C7_log_P	b14C7_weight	b14C8_log_P	b14C8_weight	b3E5_log_P	b3E5_weight
samp_11	-5.772836782399489	4.619823955821604	-0.17281024242398385	-10.392721619333045	2.0		0.0	-5.95857246913213	2.0	-11.066848231469079	2.0		0.0	-5.3777305980439545	1.0		0.0		0.0	-7.238198096406181	2.0		0.0	-11.858851895010961	1.0		0.0		0.0		0.0	-9.199828968242747	2.0	-3.648889402772737	3.0	-5.372837479203631	1.0	-5.194115976595187	2.0	-5.108868305050193	2.0		0.0
samp_12	-5.747696069569848	4.480216144470499	-0.1024369196071741	-10.3295487174178	3.0	-12.319952755986515	1.0	-5.935979682916605	1.0		0.0	-10.141487804413586	1.0		0.0		0.0		0.0	-7.203667932264836	2.0		0.0		0.0	-9.953032714465792	1.0	-3.446059681724199	1.0	-5.739616073595028	1.0	-9.14418571930388	2.0	-3.6600474292848744	3.0	-5.358753789843473	1.0	-5.1840255876813846	1.0	-5.0983797172681635	1.0	-4.485034170114859	1.0
samp_13	-6.082648609454492	4.501643306201094	-0.08083094069257199		0.0		0.0	-5.9447826093088585	2.0	-10.975770368244898	2.0		0.0	-5.374486283657644	1.0	-11.078329094414178	3.0	-6.371440508661317	1.0	-7.18787713604809	1.0	-3.5183177054450376	2.0		0.0		0.0	-3.451510380602634	2.0	-5.747851490424353	1.0	-9.093325309665811	1.0	-3.665657695213924	1.0	-5.3691224645101565	1.0		0.0		0.0	-4.4946035125529225	2.0
samp_14	-5.835782241968076	4.700251347978428	-0.17897268202070507	-10.452802551770816	3.0	-12.409941594279111	2.0	-5.986824223655845	1.0	-11.125736694539636	1.0	-10.262431291608523	2.0		0.0	-11.229263149835282	2.0	-6.424753090576429	1.0		0.0	-3.5051690682588337	1.0	-11.90892537610223	2.0	-10.071156914644158	1.0		0.0	-5.782959706848491	1.0	-9.251439536862375	1.0		0.0	-5.395287257446004	2.0		0.0		0.0		0.0
samp_15	-5.847740931833927	4.59955582945574	-0.11178932836614601	-10.41629866426426	1.0		0.0	-5.978894837130188	1.0	-11.090675158676754	1.0		0.0		0.0	-11.194139114627225	2.0	-6.41341285425832	1.0		0.0		0.0	-11.870734886380342	2.0		0.0	-3.452113467891324	1.0	-5.778620159058794	2.0	-9.21829192590561	2.0	-3.6641647929800074	1.0	-5.393717611645152	3.0	-5.2153112874526375	2.0	-5.129507446074698	1.0		0.0
samp_16	-5.710965931495345	4.662882322928414	-0.14557378010056726	-10.477136543131111	1.0	-12.481859472997114	1.0		0.0		0.0		0.0		0.0		0.0	-6.4339232008831955	2.0		0.0	-3.5123343957843116	2.0	-11.954862767436378	3.0		0.0	-3.4492718182276256	3.0	-5.791612699323561	1.0		0.0	-3.6593333088130784	2.0	-5.402819008363316	1.0	-5.22216509615259	2.0		0.0	-4.507149172177089	2.0
samp_17	-5.925882159907613	4.316178907965243	0.014466053624257869	-10.237810028734067	2.0	-12.172372972609555	1.0	-5.918113060534016	1.0	-10.921274354878257	2.0		0.0	-5.357971607786606	1.0	-11.024389164141201	1.0		0.0	-7.158117865959879	2.0	-3.5351033818021085	1.0	-11.683350999629484	1.0	-9.877324653538844	3.0		0.0	-5.72658410366587	1.0	-9.05819515067568	1.0		0.0	-5.35151965885087	1.0	-5.181323383284462	1.0	-5.095588729845974	1.0		0.0
samp_18	-5.9056539345359695	4.223847970327167	0.12411702506643674	-10.261007209563454	1.0	-12.2000420071064	1.0		0.0	-10.942611534512013	2.0	-10.079516185118067	2.0		0.0		0.0	-6.35742873420028	3.0	-7.1746146876173755	2.0		0.0		0.0		0.0	-3.4884943494582235	2.0	-5.745554818673111	1.0		0.0		0.0	-5.371335359813978	2.0	-5.20317594342888	1.0	-5.116725675721442	1.0	-4.517249948239465	2.0
samp_19	-5.940603730669998	4.8002689500065765	-0.246073888580132	-10.460710770554353	1.0	-12.388203680403436	3.0		0.0	-11.136291835998273	1.0	-10.272139319858747	1.0		0.0	-11.239051427206418	1.0		0.0		0.0	-3.4939948529127522	1.0		0.0	-10.082602281075973	2.0		0.0	-5.781229359517878	2.0		0.0	-3.638773491411461	3.0	-5.39245437191571	1.0	-5.208375155268984	1.0	-5.124078297346575	2.0	-4.491518840275011	1.0
samp_20	-5.94680532423369	4.487214440519221	-0.08551944144327915		0.0	-12.232876455144083	3.0		0.0	-10.985945106006827	1.0	-10.121643857395373	3.0	-5.3701638063068815	1.0	-11.088873599924634	1.0	-6.368605876946935	2.0	-7.192536658097573	1.0	-3.516927388812093	1.0		0.0	-9.938751628381633	1.0		0.0		0.0	-9.114441986291641	1.0	-3.664154261232385	1.0	-5.3646313544891076	1.0	-5.189921910316691	1.0		0.0	-4.4909906801587836	2.0
samp_21	-5.925015129518338	4.384074826490382	-0.04766575807726338		0.0		0.0	-5.915879729130484	1.0		0.0	-10.063331458246953	3.0		0.0	-11.030120049820322	3.0	-6.340791553066891	1.0	-7.159067468949393	2.0	-3.521096117394706	2.0	-11.6894809091902	1.0		0.0		0.0	-5.722445486803075	1.0	-9.06294068283456	2.0		0.0		0.0	-5.17436984279598	2.0	-5.089007399826858	2.0		0.0
samp_22	-5.857496979895752	4.733970843049173	-0.17226332112165899	-10.488685978973297	1.0	-12.438308730408025	1.0	-6.003553238825352	3.0	-11.160722784589739	1.0	-10.297567278259628	1.0	-5.413373584212586	1.0	-11.264023063069601	1.0	-6.443088904842487	1.0		0.0	-3.508145130421661	1.0	-11.941578895521495	2.0	-10.105409826314558	1.0	-3.446894166495186	2.0	-5.79841570111405	1.0		0.0	-3.654587611856542	1.0		0.0	-5.226431404733681	2.0		0.0		0.0
samp_23	-5.98709737771445	4.60544048505192	-0.14851707640886871		0.0	-12.268870542323107	1.0		0.0	-11.031419217661579	1.0	-10.166062119824362	1.0	-5.379097168057048	2.0	-11.134147492630788	2.0		0.0		0.0		0.0		0.0	-9.982050724936508	1.0	-3.4429303352015785	1.0		0.0	-9.151999730741952	2.0	-3.653177789449626	3.0	-5.374297973858801	1.0	-5.19627109014765	3.0	-5.111371021111334	1.0	-4.490670046900367	1.0
samp_24	-5.923553523547409	4.840046363152796	-0.24046023476767803		0.0	-12.441916530858954	1.0	-6.008561868031671	3.0	-11.184311176653862	1.0	-10.320684839633678	3.0	-5.41144139300088	2.0	-11.287139286756396	1.0		0.0		0.0		0.0		0.0	-10.128933090665136	3.0		0.0		0.0	-9.299159981561017	2.0	-3.6421029877387534	2.0		0.0		0.0	-5.13778217477142	1.0	-4.500726803380146	1.0
samp_25	-5.839111474311016	4.494436606960852	-0.061696877580320816		0.0		0.0	-5.960053068971916	1.0	-11.039019265544528	1.0	-10.17587832487289	1.0		0.0	-11.142588719299347	1.0	-6.39103861547061	1.0	-7.225682202245508	1.0	-3.524649280046742	2.0	-11.8186036942983	3.0	-9.988162486779263	1.0	-3.4572158840742917	3.0		0.0	-9.171086294459231	2.0		0.0	-5.381609321621285	1.0	-5.206308262936853	1.0		0.0	-4.503763479638235	1.0
samp_26	-5.951134368741789	4.36241948629536	-0.06308682547190311		0.0	-12.12850798150426	3.0		0.0		0.0		0.0		0.0	-10.988290758489349	1.0	-6.320746463690828	1.0	-7.134189855302601	2.0	-3.5147765312624744	2.0		0.0	-9.843147595752768	1.0	-3.4451401062362867	1.0	-5.704684743597965	2.0	-9.023565270662653	3.0	-3.6614613825395987	1.0	-5.330017053405555	3.0		0.0		0.0		0.0
samp_27	-5.85384443544077	4.084093331649622	0.040960549752967326	-10.05122443219126	2.0	-12.006311120857701	2.0		0.0	-10.738647902461823	1.0		0.0		0.0	-10.842437272300979	1.0		0.0	-7.048326727689352	5.0	-3.5231593782604165	2.0	-11.502871001676299	2.0		0.0	-3.4471042237345055	1.0	-5.643297128783827	1.0		0.0	-3.668892103245174	1.0	-5.275611219312958	1.0		0.0		0.0	-4.442357036440226	1.0
samp_28	-5.793089867398859	4.5169358682735075	-0.0553453016938447	-10.403013425101697	2.0	-12.375164403846348	1.0		0.0	-11.07682227463378	1.0	-10.213496586410066	1.0	-5.399833628620681	1.0	-11.18075799820915	1.0	-6.408275979162253	3.0	-7.249692502833941	1.0		0.0	-11.865452859757163	3.0		0.0	-3.460803928994448	1.0		0.0		0.0	-3.6763281866916455	1.0	-5.394085940232202	1.0		0.0	-5.1315703072536065	2.0	-4.511987974481741	1.0
samp_29	-5.898835995208534	4.454589539005883	-0.049853782056088654	-10.319742872286886	1.0	-12.260113933150413	1.0	-5.946599285888623	1.0	-10.99911018954604	1.0	-10.13568832137191	1.0	-5.377401085427296	1.0	-11.102321946501004	1.0		0.0		0.0	-3.5252444833077674	1.0	-11.768101073841361	1.0	-9.951060884802894	2.0	-3.456951855824306	1.0	-5.751054939945973	3.0	-9.13037024840795	2.0		0.0		0.0	-5.197569283041149	2.0		0.0	-4.498898176034556	1.0
samp_30	-5.893765043201002	4.313172264285018	0.025633963480742022	-10.254617557402367	1.0		0.0	-5.923665399897306	1.0	-10.936153440686699	1.0	-10.073062338410217	2.0	-5.363186931360863	2.0	-11.03945616683626	1.0	-6.347948799829118	1.0	-7.1670667547013185	2.0	-3.5385783608926893	1.0		0.0		0.0	-3.46638437595517	1.0	-5.732221251596578	3.0	-9.073815095461343	1.0		0.0	-5.356654576827215	1.0	-5.186436948790571	1.0	-5.100511482177772	1.0		0.0
samp_31	-5.748947817663667	4.60485937661774	-0.1712863782248067	-10.384796805224974	4.0	-12.374369790440452	1.0	-5.953952855238897	1.0		0.0	-10.194808238390873	1.0	-5.374075610500467	1.0		0.0		0.0	-7.233701208846331	1.0	-3.502556775175294	2.0	-11.85510224034909	1.0	-10.004211400306687	2.0	-3.438871825333122	1.0		0.0	-9.193549589892209	1.0	-3.648562010194743	2.0		0.0	-5.190811488089078	2.0		0.0		0.0
samp_32	-5.875548820688621	4.3888370239487555	-0.00029947905699729676	-10.309469963183899	2.0		0.0		0.0	-10.988380094408482	2.0	-10.125258770464443	3.0		0.0	-11.091743647082206	1.0	-6.371592122552371	1.0	-7.197415196364553	1.0	-3.535831336078637	1.0	-11.760369996437404	1.0	-9.940571977159232	1.0	-3.4654292236927504	2.0		0.0		0.0		0.0		0.0	-5.200252136014001	2.0	-5.114165848433919	2.0	-4.504717903501104	1.0
samp_33	-5.9773505234908395	3.435886822021329	0.7835670362467577		0.0	-12.036109409208485	1.0	-5.905412548414556	2.0	-10.802566179125424	1.0		0.0	-5.381616430162012	1.0	-10.905544873010784	1.0	-6.314636203263352	2.0	-7.107746288962238	4.0		0.0	-11.552251477647774	1.0	-9.766725929004009	1.0		0.0	-5.7312447751414615	3.0		0.0		0.0	-5.371897987015424	1.0		0.0		0.0	-4.579917045356329	2.0
samp_34	-5.935655652139097	4.324249311482229	0.05987987464235186	-10.289564029524149	1.0		0.0	-5.945130222070635	1.0	-10.971343046646478	3.0	-10.107576049965505	1.0	-5.3835666575973145	2.0	-11.07434486369888	1.0		0.0	-7.189777353603635	1.0	-3.549850968511573	1.0	-11.73407499663082	1.0	-9.925126224215239	1.0		0.0	-5.753405572038566	1.0	-9.103098623866314	1.0		0.0		0.0		0.0	-5.120080399841992	2.0	-4.514185901063918	3.0
samp_35	-5.921339516072026	4.468747871143555	-0.04827580534357743		0.0		0.0		0.0	-11.009699972083903	2.0		0.0		0.0	-11.112751236055052	1.0	-6.3814816736003	3.0	-7.208257087018732	1.0	-3.5263997083400005	1.0	-11.775922067523638	2.0	-9.961403621684035	1.0	-3.4583306371190705	3.0		0.0	-9.138427077030116	1.0	-3.6744797955242574	1.0		0.0	-5.202517322793411	1.0		0.0	-4.502501349106049	3.0
samp_36	-5.821237413389696	4.831149840837623	-0.22536313859847104	-10.541478447065817	2.0	-12.502134176986187	2.0	-6.017382508601305	2.0	-11.211130710574505	2.0		0.0	-5.419129542080282	1.0		0.0		0.0		0.0	-3.5006219214647314	2.0	-11.999412827753776	1.0		0.0		0.0		0.0	-9.332986146172454	1.0	-3.646087037962195	1.0	-5.415487899055312	2.0	-5.2296779703307985	2.0		0.0	-4.506126626795528	2.0
samp_37	-5.744700610127334	4.24927475172593	0.012522032186683674	-10.215159852379502	1.0		0.0	-5.893147342900039	1.0		0.0		0.0	-5.335945748343007	1.0		0.0	-6.3169688005971425	1.0	-7.1394770731262405	5.0	-3.530464266970464	2.0	-11.684968628078176	1.0	-9.847471025556183	1.0	-3.4573473144693967	3.0	-5.703401352545595	2.0	-9.04295624308957	1.0		0.0		0.0	-5.160533087880846	1.0		0.0		0.0
samp_38	-5.77052046093402	4.427490131995437	-0.06102922259028504	-10.312940001704883	3.0	-12.294517237051167	1.0		0.0	-10.989595872933663	1.0		0.0	-5.3653890350999935	1.0		0.0	-6.362735918182309	1.0	-7.1955737434601685	2.0		0.0	-11.779023794485132	2.0	-9.938805782908602	1.0		0.0	-5.738838406940434	2.0		0.0	-3.6687311703982095	2.0	-5.35935974342296	1.0		0.0	-5.1001953578545915	1.0	-4.489650775391698	2.0
samp_39	-5.736240191217051	4.796437266231914	-0.20658946692571598		0.0		0.0	-6.01706276617967	2.0		0.0	-10.348776131229913	2.0	-5.420311104519827	2.0		0.0		0.0		0.0		0.0	-12.016862117913304	4.0	-10.15229443279712	1.0		0.0	-5.809371279899412	2.0	-9.339909005826954	1.0	-3.649767319567697	1.0	-5.416267821555857	1.0	-5.2313359304291485	1.0	-5.145740387790693	1.0	-4.508334032068393	2.0
samp_40	-5.917517200936175	4.537097942004733	-0.1386743407077709	-10.308238116739851	1.0	-12.244171273346321	2.0	-5.935402386381052	1.0		0.0		0.0	-5.362165415827032	2.0		0.0		0.0	-7.1917754617597	1.0	-3.505797534841952	3.0		0.0	-9.941229665620158	3.0	-3.440485413355996	1.0	-5.737271132647896	3.0	-9.118949223868153	1.0	-3.6520308057713655	1.0		0.0		0.0	-5.096100332194823	1.0		0.0
samp_41	-5.898862663892469	4.089414552796269	0.2119999910679242	-10.216014714174728	1.0		0.0		0.0	-10.898965988410342	2.0	-10.036275876167167	2.0	-5.370169331155384	2.0		0.0		0.0	-7.15103182252338	1.0		0.0	-11.663812129385013	1.0	-9.856256315355655	2.0	-3.5048525759663276	1.0	-5.733574758226767	2.0	-9.041013797993031	2.0		0.0	-5.362505805150974	1.0		0.0	-5.11097119014913	1.0	-4.520341928980947	2.0
samp_42	-5.8787718035911345	4.474530913019891	-0.04641333989182561		0.0		0.0	-5.957869029068936	2.0		0.0		0.0	-5.386802543216738	1.0		0.0		0.0	-7.218314192708342	2.0	-3.527533184965286	2.0	-11.799091364259832	1.0	-9.976634947356722	2.0	-3.459505877190165	3.0	-5.761701221397203	1.0		0.0		0.0	-5.380991165035056	2.0	-5.206296382015332	2.0	-5.1203344551883765	1.0	-4.505110136793307	1.0
samp_43	-6.041708616403782	4.270739668454903	0.04264964545764229		0.0	-12.100152875302234	2.0		0.0	-10.879257859615652	1.0	-10.01277161413296	1.0		0.0	-10.982026059010233	4.0		0.0		0.0	-3.5399608818785677	1.0		0.0	-9.837556094073902	2.0	-3.4668360454180807	1.0	-5.718685085581082	3.0	-9.012388534109327	2.0		0.0	-5.345841783668883	1.0		0.0		0.0	-4.492059560717948	2.0
samp_44	-5.890492876862078	4.091581438226271	0.2067637370786709	-10.215087294038694	1.0		0.0	-5.91788155211258	1.0	-10.897818631374179	4.0	-10.035209919598907	1.0	-5.368564055078946	3.0		0.0		0.0	-7.1500374049383755	2.0		0.0	-11.663793525145202	2.0		0.0	-3.5033334722270606	1.0	-5.732050225992404	2.0	-9.04046391939275	1.0		0.0	-5.360925567655338	1.0		0.0	-5.109368680815721	1.0		0.0
samp_45	-5.965317378285797	4.3493496619241485	0.0026452206894293268	-10.248734244304865	1.0	-12.174255964985012	1.0		0.0	-10.933559406439445	3.0		0.0	-5.363549730860009	1.0	-11.036484460110186	1.0		0.0	-7.165437297336425	1.0		0.0		0.0		0.0	-3.4624541314963344	1.0		0.0	-9.066309173730415	2.0	-3.681792611111138	2.0	-5.357265689267666	2.0	-5.186244139441124	1.0	-5.100570659169228	1.0	-4.495350415539364	3.0
samp_46	-5.930166099147026	4.544304383421578	-0.10458205529987173	-10.34706942710564	1.0	-12.279070829100675	1.0	-5.955799556256732	1.0	-11.026560602638142	2.0		0.0		0.0	-11.129540848925638	2.0	-6.386278086132186	1.0	-7.215751295645357	1.0		0.0	-11.792204495197629	1.0	-9.977460824190553	1.0	-3.449478226147558	1.0		0.0	-9.152761978807822	2.0	-3.6623545610518855	2.0	-5.375904852796719	2.0		0.0	-5.114056148698722	2.0		0.0
samp_47	-5.856101730909663	4.512865044160468	-0.11014981925794577	-10.328337437843738	2.0	-12.280841828009558	1.0		0.0		0.0	-10.14291345412354	2.0	-5.3693180296971885	1.0	-11.109637324705329	2.0		0.0	-7.203468797140754	1.0		0.0	-11.78191030797131	1.0	-9.956970979015582	1.0		0.0		0.0	-9.139255643747129	1.0	-3.6591924772288924	2.0	-5.363870567512801	1.0	-5.188362038726013	3.0	-5.102977654667973	1.0	-4.4877861426699965	1.0
samp_48	-5.923364603383125	4.480173696191889	-0.08626147095667099	-10.302306302817984	1.0	-12.236759925791077	3.0	-5.937887890318778	1.0	-10.983307670392511	2.0		0.0		0.0	-11.08638698220695	2.0		0.0	-7.1908647020341405	1.0		0.0	-11.748281513385962	2.0	-9.93611149492407	2.0		0.0		0.0	-9.11384571625454	2.0	-3.6636021068662306	1.0	-5.362284450610021	1.0	-5.1877680115000535	1.0	-5.102410071762695	1.0		0.0
samp_49	-5.909715004908532	4.2250065789213	0.15422941700720774	-10.29166090497596	1.0	-12.229146868829972	2.0		0.0	-10.97222951674548	1.0	-10.109039103132481	2.0	-5.394060722118594	1.0		0.0	-6.374331370609783	1.0	-7.193553996859668	1.0		0.0		0.0	-9.925931944233211	2.0	-3.498168581001949	1.0		0.0	-9.106375519912493	1.0		0.0	-5.386873920269409	4.0		0.0		0.0	-4.530976071584294	3.0
samp_50	-5.876923284948145	4.388565327978568	-0.03407051312694082	-10.274646172372423	1.0	-12.221610796811163	3.0		0.0		0.0		0.0	-5.361800707679817	1.0	-11.058352480221776	1.0		0.0	-7.175893783746925	1.0	-3.5257363552350727	1.0	-11.725471811941524	1.0	-9.908645134026543	1.0	-3.455961845006198	1.0	-5.732991142789186	1.0	-9.091562779490356	2.0	-3.6734998422754983	1.0		0.0	-5.183556680847232	2.0	-5.097883468303156	2.0	-4.490326678819581	1.0
samp_51	-5.981127244186133	4.49672952114145	-0.10125900345096155		0.0		0.0		0.0	-10.972522432595268	3.0		0.0		0.0	-11.075348883717774	2.0	-6.362836887886691	3.0	-7.184125546354089	1.0	-3.5129803473034507	1.0	-11.729533076992194	2.0	-9.925976198391234	2.0	-3.446371661810532	1.0	-5.738487929118467	1.0	-9.099388697576174	1.0	-3.659841142226872	1.0		0.0	-5.184705019740271	1.0		0.0	-4.486296368378082	1.0
samp_52	-6.013374657972149	4.519665111556171	-0.09566623361091563		0.0		0.0		0.0	-10.993649627584269	1.0	-10.127578525356702	2.0	-5.375004165726648	2.0	-11.096329140300199	2.0	-6.375183401601662	1.0	-7.196902050412472	1.0	-3.515698043047055	2.0		0.0		0.0		0.0	-5.749477011699793	1.0		0.0	-3.6628404770466774	1.0	-5.369695741909588	1.0	-5.194134928024929	2.0	-5.108946980732843	1.0	-4.493269209765661	3.0
samp_53	-5.906122677016021	4.278351680730246	-0.013333684076575245		0.0		0.0		0.0	-10.861817034904767	1.0	-9.998907447799864	1.0	-5.330257639242276	3.0	-10.965147938201255	1.0	-6.3091351176105785	1.0	-7.12140514854415	3.0	-3.523556965265138	1.0	-11.624137132777376	1.0		0.0	-3.4515677394255393	1.0	-5.696848639169091	1.0	-9.005888551826972	2.0	-3.6706335480899113	2.0		0.0		0.0		0.0	-4.4713361351694205	2.0
samp_54	-5.895683478496182	4.588066042734563	-0.13647486153819502		0.0	-12.30840824696711	1.0		0.0	-11.045340341390453	2.0	-10.181752798003037	2.0	-5.38140464450932	1.0	-11.148508784509046	1.0	-6.391457357317839	2.0		0.0	-3.5094995409386853	3.0	-11.816563254624098	2.0	-9.995048226920431	1.0	-3.445055511371102	1.0	-5.759317252592675	1.0	-9.172486702189207	2.0		0.0		0.0		0.0		0.0	-4.492907463215275	1.0
samp_55	-5.925511537140171	4.551397791898316	-0.09084350469816284		0.0	-12.302194420977965	2.0		0.0	-11.047923242845604	3.0		0.0	-5.390564872403092	3.0		0.0	-6.3974753746165565	1.0		0.0	-3.5192805669405187	2.0	-11.814985332163921	1.0		0.0		0.0	-5.767585678307658	1.0	-9.17291829531115	2.0		0.0		0.0	-5.208455562781469	1.0	-5.122817989208586	1.0	-4.50310173277947	3.0
